SUA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
5000,8,8,3,15,3,5,14,25,86,5,114,0,10,0,12,0,4,3,15,55,0,71,7,35,3,51,15,16,32,79,193,0,274,10,52,8,69,27,27,48,118,242,3,363,16,109,10,133,33,29,63,190,384,4,581,39,235,30,300,39,54,87,391,411,3,806,75,285,20,380,25,18,41,420,416,4,850,171,282,32,480,22,17,35,517,455,8,985,270,264,21,557,17,17,31,589,335,4,929,271,192,23,491,8,11,20,509,248,0,763,247,105,17,375,8,8,17,387,134,0,521,197,65,24,295,4,3,7,299,95,6,397,347,104,27,477,3,0,9,484,121,3,612,150,52,19,218,4,0,3,222,60,0,283,109,24,15,149,0,0,0,155,15,0,172,53,8,4,66,0,0,0,66,10,0,78,97,14,12,125,4,4,0,125,35,3,168,285,210,45,539,11,13,23,566,326,30,921,15,9
5001,0,0,0,0,0,0,0,6,13,0,17,0,4,0,4,0,0,0,9,4,0,7,0,0,0,3,0,0,0,4,8,0,11,0,6,0,6,0,0,3,11,25,0,38,0,22,4,30,9,6,11,37,54,0,88,3,52,5,58,0,6,8,68,71,3,139,8,69,8,82,5,4,5,93,70,0,162,31,48,5,84,3,0,6,90,62,0,159,60,54,13,130,0,0,0,133,67,0,197,54,48,0,108,0,0,0,109,34,0,145,52,34,0,82,0,0,0,87,30,0,114,43,19,0,58,0,0,0,57,20,0,80,58,23,3,83,0,0,0,83,23,0,104,18,6,0,30,0,0,0,30,5,0,34,18,4,0,23,0,0,0,23,8,0,29,5,0,0,8,0,0,0,8,0,0,4,8,3,0,11,0,0,0,11,3,0,17,37,31,4,72,0,0,0,77,32,0,108,0,0
5002,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,7,11,0,16,0,4,0,9,5,0,0,10,22,0,35,6,3,0,6,0,0,0,7,23,0,30,0,5,3,14,0,0,8,16,27,0,39,8,21,0,26,0,0,0,26,17,0,44,11,14,0,25,0,0,0,26,18,0,44,25,11,0,32,0,0,3,33,14,0,51,26,8,6,33,0,0,0,33,11,0,44,27,7,0,39,0,0,0,39,6,0,48,18,10,0,33,0,0,0,31,6,0,34,59,3,5,65,0,0,0,65,6,0,74,13,3,0,15,0,0,0,15,4,0,21,14,0,0,16,0,0,0,16,0,0,16,3,0,0,5,0,0,0,5,0,0,4,10,3,0,11,0,0,0,11,9,0,22,31,10,6,48,0,5,5,52,21,0,78,0,0
5003,0,0,0,6,0,5,7,14,26,0,43,0,0,0,0,0,0,0,3,8,0,14,0,12,0,14,4,4,7,24,16,0,38,0,25,0,26,8,8,15,40,60,0,95,3,36,3,40,3,10,17,56,103,0,161,18,86,8,109,11,22,38,149,173,0,322,33,149,15,195,12,13,24,217,135,0,356,82,150,15,240,8,0,14,255,153,0,410,139,142,20,297,0,5,8,304,125,0,430,122,100,3,226,0,5,9,236,88,0,327,107,62,16,180,0,3,3,184,46,0,228,110,34,6,156,0,0,4,152,44,0,199,204,37,16,256,3,5,10,261,48,0,311,65,25,10,96,0,0,0,95,22,0,122,54,7,4,65,0,0,0,68,13,0,76,21,5,0,22,0,0,0,23,3,0,32,34,7,0,43,0,0,0,43,13,0,58,123,60,14,188,9,0,10,203,86,4,293,3,5
5004,0,0,0,4,0,0,0,4,20,0,19,0,0,0,0,0,0,0,0,0,0,9,0,4,0,4,0,4,3,8,12,0,17,0,8,0,8,3,0,6,14,14,0,30,0,15,0,22,0,3,4,20,43,0,65,3,52,0,55,4,3,5,62,49,0,108,22,87,8,117,4,5,8,121,47,0,178,45,77,7,130,3,3,9,131,59,0,195,52,89,5,144,0,3,3,147,65,0,209,58,43,4,105,0,0,0,106,34,0,141,40,33,0,77,0,0,0,77,15,0,93,37,21,4,64,0,0,0,69,4,0,72,68,24,3,94,0,0,0,94,19,0,119,21,17,4,41,0,0,0,41,4,0,47,16,8,0,21,0,0,0,21,0,0,25,5,0,0,3,0,0,0,3,0,0,7,15,7,3,22,0,0,0,22,5,0,24,60,29,5,99,0,5,3,104,31,0,135,5,3
5005,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,3,3,6,0,5,0,0,0,0,0,0,0,0,15,0,10,0,3,0,3,0,0,4,7,9,0,16,0,9,0,5,0,0,0,7,25,0,38,0,8,0,11,0,3,3,14,15,0,27,7,10,0,20,0,6,3,24,9,0,35,17,15,3,34,0,0,0,34,16,0,53,13,11,0,27,0,0,0,27,15,0,38,19,4,0,27,0,0,0,27,10,0,37,9,4,0,17,0,0,0,17,6,0,18,11,4,3,16,0,0,0,16,3,0,16,21,6,0,29,0,0,0,28,10,0,44,8,0,0,8,0,0,0,8,5,0,16,7,0,0,5,0,0,0,5,4,0,9,5,0,0,5,0,0,0,5,0,0,5,11,0,0,11,0,0,0,11,0,0,11,16,5,3,29,0,0,0,25,22,5,51,0,4
5006,0,0,0,0,0,0,3,3,28,0,32,0,0,0,0,0,0,0,4,13,0,13,0,4,0,4,4,5,8,9,29,0,39,0,7,0,13,5,4,10,24,33,3,60,0,15,0,20,9,8,16,37,56,0,97,3,38,0,48,3,14,16,65,78,0,142,17,65,5,86,3,8,11,93,70,0,165,31,63,9,100,5,4,7,102,102,0,200,62,64,10,139,3,0,3,139,64,0,204,62,34,6,96,5,3,7,106,38,0,140,53,32,4,95,0,6,3,98,27,0,126,58,21,4,84,0,0,0,81,23,0,105,87,19,7,106,0,0,0,109,35,0,143,38,14,5,56,0,0,0,56,14,0,74,28,4,5,36,0,0,0,36,3,0,43,10,4,0,11,6,0,6,18,3,0,19,19,3,0,26,0,0,0,27,3,0,28,55,24,0,84,3,0,9,93,49,3,153,0,0
5007,0,0,0,0,4,0,4,4,15,0,16,0,0,0,5,0,0,0,0,6,0,10,0,0,0,3,7,4,7,9,8,0,15,0,6,0,3,3,3,4,6,17,0,25,0,12,3,7,0,4,4,13,31,0,38,3,13,0,20,3,0,3,30,50,0,79,11,34,3,48,0,0,0,49,26,0,72,25,19,0,44,0,0,0,50,32,0,80,35,23,0,57,6,0,6,55,28,0,82,47,12,0,60,0,4,4,66,18,0,84,51,11,3,64,0,0,0,64,6,0,74,46,14,4,61,0,0,0,57,0,0,61,87,10,10,106,0,0,0,107,23,0,130,27,5,3,41,0,0,0,37,16,0,56,32,6,0,41,0,0,0,41,3,0,42,17,0,0,18,0,0,0,18,0,0,18,38,3,3,50,0,0,0,50,3,0,52,37,4,0,38,0,0,0,42,26,0,73,4,4
5008,0,0,0,0,0,0,5,5,3,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,14,0,11,0,4,0,9,0,0,4,5,6,0,15,4,12,0,17,0,0,0,17,3,0,17,7,3,0,12,0,0,0,12,3,0,20,14,9,0,17,0,0,0,19,3,0,22,11,3,0,17,0,0,0,17,4,0,26,27,6,0,32,0,0,0,32,8,0,37,29,3,0,34,0,0,0,34,0,0,34,34,5,3,50,0,0,0,50,5,0,49,6,0,0,5,0,0,0,5,0,0,15,29,9,0,31,0,0,0,31,0,0,34,8,0,0,8,0,0,0,8,0,0,8,28,0,0,34,0,0,0,34,3,0,32,6,7,3,16,0,0,0,16,5,0,28,0,0
5009,35,45,32,115,85,107,192,306,1228,18,1552,19,94,8,122,40,34,73,194,306,0,508,20,222,24,267,105,98,200,468,634,5,1107,45,408,41,489,180,179,360,847,1133,18,1994,77,692,57,833,181,263,444,1274,2109,22,3410,220,1727,165,2114,287,437,725,2839,3067,16,5923,574,2444,212,3233,211,279,495,3724,2811,13,6540,1470,2698,223,4391,143,197,342,4729,3445,29,8205,2657,2850,213,5722,149,138,284,6007,3026,28,9059,3018,2282,203,5511,130,111,236,5754,2208,21,7977,2939,1446,189,4572,85,64,151,4717,1521,16,6256,2835,1045,163,4044,59,45,103,4144,1148,11,5300,5285,1645,290,7221,84,52,129,7355,1614,21,8981,2201,683,136,3019,46,42,91,3107,845,3,3961,1859,424,111,2396,27,18,45,2442,350,7,2791,702,155,45,897,7,4,17,916,200,0,1115,2226,425,98,2754,36,17,51,2801,454,10,3266,2480,1347,326,4154,141,100,245,4398,1965,138,6493,89,58
5010,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,3,0,11,0,4,0,4,0,4,8,10,10,0,21,0,0,0,3,0,0,0,3,15,0,22,0,3,0,3,3,3,4,14,15,0,23,0,0,0,9,0,0,3,11,11,0,22,6,6,0,10,0,0,0,12,13,0,26,14,6,0,22,0,0,0,22,8,0,30,19,5,5,31,0,0,0,31,8,0,39,33,5,0,41,0,0,0,41,0,0,40,28,0,5,26,0,0,0,26,8,0,39,39,11,4,56,0,0,0,58,7,0,62,15,0,0,15,0,0,0,15,0,0,17,19,4,0,20,0,0,0,20,4,0,26,12,0,3,14,0,0,0,14,0,0,14,24,4,0,28,0,0,0,28,3,0,31,13,3,3,23,0,0,0,20,9,4,38,5,0
6000,3,0,3,10,3,5,9,19,44,0,66,0,6,0,12,5,0,5,19,22,0,39,0,16,0,20,5,8,11,32,55,0,92,0,38,3,41,12,14,28,71,110,0,183,12,79,16,109,13,24,41,143,215,0,359,25,173,31,231,30,26,60,285,354,0,640,49,257,25,330,21,26,42,377,313,3,691,137,240,12,394,17,20,38,430,419,6,851,204,235,24,456,12,9,24,481,318,0,803,209,166,20,393,6,3,10,406,207,5,618,170,72,20,253,3,7,8,265,114,0,377,113,55,18,182,3,3,3,180,82,3,269,207,71,19,299,4,0,6,306,99,0,400,80,36,3,120,0,0,4,124,27,0,155,57,7,3,67,0,0,0,67,10,0,76,20,10,0,28,0,0,0,28,5,0,35,33,14,8,46,0,0,0,48,14,0,65,208,126,24,357,16,9,26,380,207,16,605,7,3
6001,0,0,0,3,0,3,3,4,15,0,19,0,0,0,0,0,0,0,0,6,0,8,0,4,0,4,3,0,3,10,10,0,17,0,3,3,10,3,5,11,16,28,0,49,0,17,0,17,3,8,13,27,75,0,104,7,44,8,56,10,13,25,78,83,0,163,11,61,0,76,0,9,10,86,84,0,170,28,46,5,79,3,4,5,86,107,0,194,31,50,6,76,0,4,9,86,91,0,176,51,41,7,98,0,0,0,102,45,0,148,44,18,0,67,3,0,0,67,25,0,95,36,11,5,53,0,0,0,57,21,0,75,53,18,5,75,0,0,0,77,24,0,98,15,10,0,27,0,0,0,26,5,0,29,5,0,4,15,0,0,0,15,3,0,19,6,0,0,7,0,0,0,7,0,0,7,5,6,0,12,0,0,0,12,10,0,20,32,25,0,60,4,0,4,63,37,4,100,0,0
6002,0,0,0,0,0,4,4,3,15,0,21,0,0,0,0,0,0,0,0,4,0,4,0,6,5,11,0,4,6,13,15,0,32,0,7,0,17,11,0,8,23,26,0,56,0,17,0,22,0,9,11,28,76,0,106,6,44,6,59,12,23,34,91,94,0,189,21,74,11,109,4,6,9,120,95,0,217,49,72,8,133,3,4,0,137,105,0,239,55,67,3,131,4,4,5,139,78,0,214,63,41,3,107,5,0,5,109,54,0,169,59,29,5,87,0,0,0,92,31,0,119,31,24,0,53,0,0,0,58,21,0,78,58,21,8,78,0,0,0,84,31,0,114,21,4,6,33,0,0,0,32,6,0,42,19,0,0,18,0,0,0,18,0,0,24,3,3,0,7,0,0,0,7,0,0,8,9,0,3,9,3,0,3,13,4,0,16,40,26,6,71,5,0,3,77,33,5,111,0,5
6003,5,4,4,9,14,8,25,30,92,3,129,0,10,0,13,0,5,4,19,33,0,46,4,20,5,27,15,4,20,50,84,4,131,0,56,3,60,21,25,41,104,125,3,235,10,87,8,107,32,30,65,171,328,6,508,29,255,23,307,41,55,96,399,495,0,901,82,365,31,480,20,39,61,539,425,3,970,180,363,33,579,26,21,41,619,588,5,1208,377,431,51,859,15,15,28,886,431,5,1323,380,333,40,753,16,5,18,772,325,4,1101,364,199,36,593,13,7,19,612,179,5,795,342,140,34,510,3,4,7,515,153,3,672,597,188,37,818,7,6,13,829,201,0,1032,204,78,17,299,3,4,5,302,67,0,378,148,39,7,196,0,0,0,201,30,0,232,52,13,8,65,0,0,0,65,15,0,82,161,43,7,210,0,0,0,210,41,6,261,348,183,37,560,7,15,22,583,199,18,797,8,7
6004,3,0,0,4,3,0,5,11,41,3,54,0,4,0,4,0,4,6,9,10,0,22,3,10,0,13,0,3,9,23,35,0,52,3,22,7,27,7,8,16,40,80,0,119,5,35,5,40,10,23,33,68,144,3,220,6,112,14,128,17,29,45,182,225,0,405,39,167,14,225,13,29,38,264,205,0,471,99,205,12,314,10,13,29,337,261,5,606,162,181,22,365,9,12,17,378,196,3,574,198,128,7,341,0,10,9,347,124,0,470,150,84,3,239,0,7,8,247,80,0,326,134,50,8,192,0,0,3,195,49,0,241,183,81,17,277,0,5,5,280,57,0,336,83,27,0,114,0,0,0,116,24,0,137,48,11,0,61,0,0,0,61,8,0,75,16,6,0,15,0,0,0,15,0,0,16,41,5,0,44,0,0,0,44,13,0,60,124,89,17,222,4,0,6,234,85,3,321,0,6
6005,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,3,0,4,0,3,0,7,10,0,18,0,4,0,10,3,0,3,13,21,0,34,4,12,0,20,0,0,6,21,41,0,63,11,41,6,53,3,4,7,63,40,0,103,17,29,0,49,0,3,3,50,49,0,98,21,31,4,52,0,0,0,60,39,0,96,37,15,3,56,0,0,0,56,21,0,84,22,14,0,32,0,0,0,32,9,0,46,13,7,5,25,0,0,0,25,14,0,35,17,5,3,29,0,0,0,29,8,0,38,5,7,0,14,0,0,0,14,4,0,20,9,3,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,24,10,3,36,0,3,3,44,15,6,59,0,0
7000,0,0,0,0,4,0,4,4,16,0,20,0,7,3,16,7,4,8,22,128,0,152,13,30,4,46,34,19,52,101,430,3,526,5,27,4,38,23,6,29,69,176,0,245,19,35,6,58,22,5,31,86,282,3,375,26,42,6,74,11,14,18,95,143,3,242,32,36,9,82,20,11,28,112,211,0,322,44,40,3,85,10,8,15,99,181,3,279,62,45,4,119,9,7,11,132,130,4,264,66,31,15,110,6,3,9,123,108,0,232,51,14,3,65,0,0,3,73,43,0,115,69,13,6,84,6,0,5,92,43,0,131,97,17,16,117,0,0,0,122,44,5,169,38,7,9,49,0,0,0,45,26,0,75,24,4,0,36,0,0,0,37,8,0,44,20,0,0,18,0,0,0,22,0,0,26,23,0,0,31,0,0,0,31,12,0,42,74,37,13,127,7,10,17,144,148,9,306,6,7
7001,0,0,0,0,0,0,0,0,19,0,22,0,0,0,5,0,0,0,3,3,0,11,0,3,0,8,0,4,5,13,22,0,30,0,0,0,3,0,7,7,8,44,0,43,0,3,4,6,0,0,5,14,41,0,57,5,10,5,15,0,0,3,23,43,0,67,4,11,0,13,0,0,0,15,48,0,62,17,16,0,39,3,0,3,43,42,0,82,51,21,3,72,0,4,5,79,42,0,121,43,28,0,68,0,0,0,71,27,0,99,61,11,4,80,0,0,0,81,12,0,90,38,9,0,53,5,0,4,58,8,0,70,85,15,3,100,0,0,0,102,11,0,115,35,5,3,41,0,0,0,41,3,0,50,36,3,0,39,0,0,0,41,0,0,47,21,3,0,20,0,0,0,20,0,0,22,29,12,0,43,0,0,0,44,0,0,43,39,10,0,48,0,0,0,53,39,4,97,4,4
7002,4,0,3,8,3,6,9,13,63,0,73,0,0,0,5,0,0,3,10,18,0,24,0,14,0,16,3,3,9,21,41,5,71,5,21,0,25,8,14,23,50,93,4,142,4,30,3,40,15,6,25,61,123,15,202,10,83,8,102,17,18,29,133,162,7,300,39,103,11,150,6,17,29,179,147,5,333,90,81,10,188,8,12,20,208,138,9,354,205,121,12,332,6,4,13,346,119,3,470,229,85,14,335,3,4,3,337,120,0,463,285,57,21,358,4,3,7,367,66,3,438,241,53,10,308,3,0,6,308,60,0,370,470,73,34,579,9,6,8,585,93,3,679,197,17,8,222,0,0,0,227,52,0,282,149,20,4,175,0,0,0,173,23,0,200,67,7,3,77,0,0,0,77,11,0,87,169,18,12,201,0,0,0,201,34,0,237,186,52,23,260,12,4,14,276,120,12,408,11,3
8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,8,4,0,5,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,4,0,0,4,0,0,0,4,4,0,4,0,0
8001,9,5,3,14,8,10,22,40,178,0,225,0,11,3,16,13,8,17,32,50,0,89,4,29,10,40,13,19,28,70,120,0,188,3,53,9,58,22,17,39,100,195,0,293,6,83,13,106,31,27,56,161,374,0,542,39,186,24,251,23,34,57,309,478,5,791,85,283,45,406,25,29,45,455,380,0,842,207,327,31,564,24,15,38,602,502,5,1112,438,405,51,896,17,16,37,929,482,0,1415,559,365,56,979,16,13,24,1006,436,0,1444,815,303,53,1166,18,13,26,1193,324,3,1523,807,256,53,1116,0,8,11,1126,282,3,1411,1967,387,93,2449,11,4,20,2466,459,4,2930,721,154,41,922,12,0,14,936,295,0,1228,727,115,37,881,3,0,3,883,140,0,1023,291,48,24,366,0,0,3,368,89,0,457,997,112,36,1146,14,6,21,1167,143,6,1314,686,212,65,961,24,15,35,999,282,22,1297,14,12
9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,7,0,7,0,0,0,7,7,0,6,0,0,0,4,0,0,0,4,0,0,4,0,3,0,5,0,0,0,5,0,0,9,6,3,0,11,0,0,0,11,7,0,15,7,4,0,14,0,0,4,15,8,0,23,5,4,0,7,0,0,0,7,0,0,8,4,0,0,5,0,0,0,5,0,0,9,0,4,0,4,0,0,0,4,0,0,4,8,0,0,9,0,0,0,9,0,0,11,4,0,0,5,0,0,0,5,0,0,5,3,0,0,8,0,0,0,8,0,0,7,6,0,0,6,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,5,0,12,0,0,0,11,3,0,15,0,0
