UCL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL122125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8,10,0,0,0,7,0,38
UCL122126,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,46,26,20,13,6,7,0,3,147
UCL122127,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,13,14,14,6,6,9,0,84
UCL122128,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,6,8,5,6,5,0,48
UCL122129,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,9,11,16,6,0,7,0,93
UCL122130,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,8,4,0,3,9,0,49
UCL122131,9,0,12,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,21,21,6,8,10,13,3,132
UCL122132,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,12,19,3,0,5,4,3,57
UCL122133,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,3,3,0,3,7,0,30
UCL122134,0,0,4,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,33,33,26,14,16,13,3,8,3,154
UCL122135,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,16,6,14,0,3,0,4,11,0,62
UCL122136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,11,0,0,0,5,0,17
UCL122137,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,11,11,4,0,3,4,0,45
UCL122138,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,26,8,12,9,5,5,6,0,76
UCL122139,0,0,4,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,7,22,6,7,11,12,0,62
UCL122140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,3,10,3,0,3,3,0,45
UCL122141,3,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,4,6,6,13,32,34,25,15,4,11,20,4,158
UCL122142,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,11,11,0,6,0,8,0,56
UCL122143,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18,7,9,3,0,4,7,0,58
UCL122144,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,8,13,13,22,14,6,8,6,0,93
UCL122145,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,3,0,4,4,0,0,30
UCL122146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,6,9,11,8,8,0,5,4,4,45
UCL122147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,14
UCL122148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,4,3,5,0,8,4,0,47
UCL122149,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,11,9,5,0,0,9,4,56
UCL122150,0,0,4,4,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,10,18,28,27,34,13,12,10,14,6,150
UCL122151,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,16,7,8,3,6,0,7,3,59
UCL122152,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,6,9,0,4,3,0,45
UCL122153,0,0,5,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,20,30,33,12,16,0,4,5,0,132
UCL122154,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,59,33,29,18,9,8,8,3,185
UCL122155,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,8,24,29,12,18,6,23,21,4,141
UCL122156,0,0,3,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,4,19,26,6,15,3,10,20,0,102
UCL122157,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,32,32,26,11,36,8,10,4,0,161
UCL122158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,6,7,0,3,6,3,0,41
UCL131001,1344,244,2292,1313,1180,653,484,986,141,8633,16,21,13,18,9,13,9,29,3,135,592,402,263,250,280,85,234,212,100,2420,1289,430,823,502,530,429,598,842,831,6270,41938,40976,28939,17710,20624,7538,9083,12304,3269,182372
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
UCL201001,8783,2603,23507,11548,9020,6946,5334,7406,979,76129,115,140,183,168,144,143,166,301,36,1385,5439,7831,2989,3833,4731,2059,2161,2054,1024,32124,3680,4059,5146,3470,3661,2479,2900,3546,7981,36920,257953,594013,202509,175082,202044,91904,64910,79334,30202,1697942
UCL203001,209,49,614,325,225,203,82,214,14,1939,0,6,3,4,4,3,0,11,0,28,78,113,67,72,79,33,45,33,20,545,66,63,129,80,77,68,62,95,106,745,4061,10562,4995,4890,3862,1857,1198,1852,421,33697
UCL203002,198,41,625,327,203,167,93,249,25,1923,4,0,6,0,5,3,3,11,0,36,59,94,48,60,55,32,45,35,13,442,54,63,109,84,49,59,75,108,142,747,3509,9798,4757,4794,3354,1608,1263,2080,434,31597
UCL203003,374,83,1172,576,350,328,184,399,38,3508,0,8,6,9,3,11,0,11,4,53,118,199,113,167,127,57,79,95,33,989,124,131,249,181,114,95,87,188,273,1437,7514,19430,9503,9072,6580,3313,2654,3803,967,62842
UCL211001,71,24,262,145,96,79,67,92,7,842,0,0,3,7,0,5,0,12,0,30,20,23,21,32,25,11,21,16,5,176,25,17,45,30,24,23,37,50,54,314,1362,2850,2040,1988,1378,605,659,800,180,11862
UCL211002,126,29,344,211,183,127,277,150,15,1469,4,0,5,0,4,0,3,5,0,20,41,30,44,66,43,28,88,43,13,390,39,40,116,80,69,37,139,104,131,755,1706,3710,3329,3494,2598,1116,2251,1583,424,20210
UCL212001,26,11,123,54,59,38,17,35,5,366,0,0,4,0,0,4,0,4,0,5,10,18,24,16,12,4,18,17,3,113,24,10,34,21,25,13,22,20,46,211,806,1700,1413,1017,933,334,414,395,114,7127
UCL212002,36,7,144,48,35,31,15,39,4,360,0,0,0,0,0,0,0,3,0,5,7,9,6,7,11,3,6,9,0,52,16,8,18,17,7,7,17,26,15,123,525,979,731,633,344,227,172,299,46,3954
UCL212003,81,26,234,97,63,85,41,94,13,718,5,3,0,4,0,0,0,12,0,25,13,19,15,21,7,9,9,27,5,127,39,31,40,35,29,24,31,72,73,369,1202,2618,1410,1512,947,536,392,793,182,9588
UCL212004,52,20,123,53,34,28,12,29,0,353,0,0,0,0,0,0,0,0,0,0,32,38,14,21,27,6,7,5,3,156,28,33,36,27,24,22,6,18,16,203,1309,2872,1177,914,817,346,138,269,111,7947
UCL212005,84,22,276,137,100,95,55,127,7,908,0,0,0,0,0,6,0,10,0,15,25,34,23,29,11,5,23,28,4,194,46,36,57,36,33,39,44,98,79,465,1633,3765,2062,2031,1329,707,541,1218,231,13514
UCL212006,80,22,230,119,113,79,46,68,7,758,0,0,0,0,0,8,0,0,0,10,21,35,31,31,40,8,29,14,11,219,44,27,43,33,33,21,35,31,54,327,1674,3270,2500,1849,1723,695,650,661,214,13239
UCL212007,41,19,105,45,50,41,4,24,0,346,0,0,0,0,0,0,0,0,0,4,35,40,15,27,20,5,5,9,9,163,23,20,26,13,17,12,3,17,29,163,1632,3303,1215,961,867,447,121,300,120,8963
UCL212008,62,19,164,92,112,47,18,52,4,571,0,0,0,0,0,0,0,0,0,5,9,12,19,17,19,3,14,13,6,115,18,13,36,25,22,10,16,30,31,210,891,2472,1563,1140,1086,386,398,513,127,8581
UCL212009,83,23,268,130,65,89,21,119,10,806,0,0,0,5,0,0,0,11,0,13,21,29,23,22,14,11,10,11,7,147,28,22,33,24,19,28,17,70,45,281,1220,3076,1644,1594,1045,566,339,832,140,10456
UCL213001,16,4,67,43,43,30,11,47,0,261,0,0,0,0,0,0,0,3,0,7,5,0,8,8,7,8,0,4,0,48,10,7,24,9,8,6,9,25,20,118,377,828,554,553,402,207,143,308,60,3431
UCL213002,18,5,51,14,17,10,0,15,0,128,0,0,0,0,0,0,0,0,0,3,29,27,4,8,15,0,4,6,3,97,14,8,11,9,3,5,8,3,7,75,420,1235,416,396,289,125,71,161,45,3170
UCL213003,23,3,101,35,19,28,21,62,3,297,0,0,0,0,0,0,0,3,0,3,12,6,3,0,13,4,4,9,0,51,11,5,19,7,10,12,12,32,26,132,358,591,571,577,274,167,184,463,61,3251
UCL213004,28,11,99,36,37,36,24,28,7,296,0,0,0,0,4,0,0,0,0,4,9,10,10,10,9,3,6,4,4,58,13,9,9,12,13,11,13,16,18,110,471,949,888,675,482,258,248,344,70,4380
UCL213005,36,4,134,55,26,41,21,40,6,361,0,0,0,0,0,0,0,0,0,7,13,16,7,9,10,0,4,8,4,74,3,3,22,14,13,8,5,15,25,111,557,1250,963,800,539,252,214,370,82,5022
UCL213006,23,7,54,24,27,13,7,11,0,174,0,0,0,0,0,0,0,0,0,0,13,17,7,15,14,0,8,3,0,78,10,5,21,10,10,4,13,6,17,85,630,1261,688,450,456,163,128,164,48,3990
UCL213007,45,14,119,50,43,43,22,23,0,353,0,0,0,0,0,0,0,5,0,10,11,10,8,12,5,0,0,10,0,51,26,11,20,7,9,5,14,26,20,140,675,1348,819,768,512,255,209,284,70,4946
UCL213008,24,3,80,60,39,36,29,30,3,295,0,3,0,0,0,0,0,0,0,0,9,13,15,10,11,4,14,9,4,87,8,12,20,9,15,6,16,9,25,125,582,1377,1003,882,651,274,347,302,79,5500
UCL213009,17,6,112,56,36,29,18,26,0,300,0,0,0,0,0,0,0,0,0,3,4,16,11,10,6,3,6,5,3,61,9,7,19,7,13,8,6,13,22,103,457,1028,802,684,488,231,191,264,66,4208
UCL213010,18,7,72,36,33,29,13,33,7,242,0,0,0,0,0,0,0,0,0,0,10,4,8,10,6,0,0,6,7,53,9,11,33,19,16,15,12,26,26,165,303,619,801,708,445,199,193,308,76,3646
UCL213011,24,0,72,37,20,18,9,25,6,209,0,0,0,0,0,0,0,0,0,0,3,0,16,3,7,0,3,9,0,46,7,5,18,19,8,10,17,27,23,138,201,474,534,494,328,156,183,242,64,2682
UCL213012,18,3,47,31,18,25,13,19,9,183,0,0,0,0,0,0,0,0,0,5,5,7,10,3,3,4,0,8,0,45,7,9,11,17,7,7,12,19,18,103,259,635,474,471,238,110,187,199,53,2633
UCL213013,39,8,89,53,19,24,4,36,3,281,5,0,0,0,0,0,0,0,0,6,15,15,7,4,3,6,3,8,0,59,17,11,7,11,7,9,8,15,12,93,536,1264,671,652,393,188,125,238,66,4132
UCL213014,17,8,70,40,26,20,6,28,7,224,0,0,0,0,0,0,0,4,0,5,8,12,10,6,0,6,4,9,3,46,12,4,12,7,3,7,7,23,13,93,410,822,498,458,313,162,97,260,54,3075
UCL213015,28,7,95,42,48,45,28,35,5,326,0,0,0,0,0,5,0,0,0,7,9,17,11,7,12,7,12,8,5,89,11,5,31,9,15,3,19,10,37,149,496,845,1008,733,572,247,326,293,93,4617
UCL213016,49,5,144,64,39,54,27,66,0,446,0,0,0,0,0,0,0,0,0,0,5,10,4,6,9,8,9,5,0,58,19,12,20,12,23,16,17,34,35,185,663,1611,942,998,568,330,259,421,86,5865
UCL213017,26,9,105,62,41,40,16,51,4,345,0,0,0,3,0,0,0,0,0,3,11,16,14,24,12,0,5,4,0,94,14,13,23,22,11,4,15,25,27,158,751,1823,981,902,666,304,250,486,86,6251
UCL213018,21,5,73,32,22,24,3,13,4,203,0,0,0,0,0,0,0,0,0,3,10,6,9,4,0,0,0,6,0,27,13,6,3,4,10,16,12,17,0,86,281,485,425,307,206,127,78,171,35,2111
UCL214001,16,3,34,24,9,13,4,25,0,140,0,0,0,0,0,0,0,0,0,0,3,11,0,6,0,0,3,7,0,27,0,8,7,14,4,6,7,28,15,86,187,371,236,402,172,78,82,244,45,1816
UCL214002,10,4,40,23,16,7,7,19,0,130,0,0,0,0,0,0,0,0,0,0,11,4,4,6,3,3,5,0,0,30,3,3,13,10,3,5,8,3,13,58,229,451,470,333,259,109,113,130,34,2133
UCL214003,19,6,66,32,16,14,9,21,3,178,0,0,0,0,0,0,0,0,0,5,3,7,3,6,8,0,5,5,0,43,8,5,24,11,18,3,8,26,17,116,279,595,450,445,256,138,109,214,56,2539
UCL214004,14,0,35,16,15,10,7,24,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,17,3,0,10,11,0,6,4,20,6,71,153,187,219,196,122,56,76,174,23,1205
UCL214005,3,0,12,6,3,3,4,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,6,0,0,4,0,0,0,11,30,48,64,32,22,15,22,38,6,273
UCL214006,27,0,56,16,5,19,0,17,5,152,0,0,0,0,0,0,0,0,0,0,6,3,6,10,0,0,0,4,0,39,11,0,12,11,3,5,0,5,5,63,249,375,294,237,162,134,38,147,33,1667
UCL214007,9,7,24,18,26,6,10,12,0,116,0,0,0,0,3,0,0,0,0,3,6,3,4,6,0,3,3,0,0,28,4,0,8,4,5,4,6,10,7,44,185,502,332,259,290,110,135,132,37,1990
UCL214008,23,8,72,33,25,19,9,31,3,224,0,0,0,0,0,0,0,0,0,4,5,5,8,5,3,4,0,0,0,40,0,4,13,7,7,5,10,10,7,71,341,714,488,437,293,147,102,200,36,2752
UCL214009,32,9,68,18,18,11,5,21,3,182,0,0,0,0,0,0,0,0,0,4,6,13,6,3,5,0,6,4,0,53,4,9,15,9,3,5,9,10,4,68,378,618,592,362,293,130,118,193,30,2715
UCL214010,20,0,48,13,5,0,0,13,0,103,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0,0,20,13,5,10,8,8,8,0,0,10,53,280,611,261,191,193,77,25,83,28,1749
UCL214011,11,4,53,19,14,18,11,17,0,154,0,0,0,0,0,0,0,0,0,0,0,6,8,14,5,0,8,0,5,63,4,6,13,5,7,5,8,11,16,71,266,565,552,395,323,139,165,181,54,2632
UCL214012,4,0,35,17,11,4,7,26,0,109,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,8,0,16,4,7,8,7,3,7,6,16,17,78,149,360,301,233,122,78,79,182,23,1533
UCL214013,12,4,31,15,4,7,5,13,3,98,0,0,0,0,0,0,0,5,0,7,5,12,3,0,5,0,0,3,0,37,6,4,4,0,0,3,7,8,0,33,298,509,205,173,144,92,38,115,27,1606
UCL214014,23,5,33,22,14,4,0,16,0,129,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,19,4,5,8,6,0,8,0,13,11,61,178,270,196,250,126,69,45,125,34,1291
UCL214015,6,0,38,14,14,13,6,16,3,105,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,16,3,5,14,6,5,7,8,3,0,47,145,393,302,223,160,78,69,105,19,1489
UCL214016,11,3,50,22,7,15,3,21,3,139,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,5,0,28,3,4,10,3,0,4,9,18,9,69,156,310,275,317,142,94,85,171,17,1568
UCL214017,5,0,14,0,3,3,0,3,0,41,0,0,0,0,0,0,0,0,0,0,13,11,4,0,7,3,0,0,0,43,7,0,10,4,4,0,0,9,7,47,302,602,194,153,164,71,15,62,40,1603
UCL214018,5,4,42,22,9,4,7,16,0,123,0,0,0,5,0,0,0,0,0,3,3,8,0,3,7,0,3,0,0,31,5,6,15,18,9,3,5,10,6,80,337,582,381,319,275,113,92,146,53,2307
UCL214019,10,0,29,21,21,12,6,18,0,116,0,0,0,0,0,0,0,3,0,7,3,4,0,0,3,0,4,7,3,31,4,3,12,4,0,0,5,12,10,55,179,248,267,250,152,85,66,153,24,1420
UCL214020,11,3,30,16,8,9,3,17,5,103,0,0,0,0,0,0,0,3,0,3,3,4,0,0,0,0,0,11,0,21,3,5,5,6,0,3,11,10,3,46,143,269,202,278,119,65,70,169,19,1348
UCL214021,5,0,24,15,25,18,0,7,0,103,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,4,0,0,19,3,0,11,0,9,3,0,6,14,47,181,309,418,266,185,100,77,96,26,1661
UCL214022,19,3,57,35,12,24,8,26,0,185,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,4,0,23,3,0,19,3,4,12,3,18,7,74,186,379,373,339,159,147,78,175,32,1875
UCL215001,5,0,6,6,6,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,13,111,205,57,54,51,37,3,24,0,546
UCL215002,3,0,16,4,10,5,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,5,4,0,0,5,0,3,22,98,137,130,109,75,27,27,41,9,648
UCL215003,8,0,19,11,0,8,0,4,0,52,0,0,0,0,0,0,0,0,0,0,3,11,4,10,0,0,3,0,0,28,5,3,5,4,0,3,0,0,0,22,220,421,151,126,97,46,18,38,21,1146
UCL215004,11,0,22,0,3,10,0,8,0,60,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,5,20,87,72,86,45,42,35,14,41,10,430
UCL215005,6,0,5,5,0,3,5,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,6,0,20,31,39,38,45,19,13,18,22,7,237
UCL215006,4,0,16,5,3,4,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,20,4,0,3,4,3,0,5,6,0,21,112,189,138,139,100,36,36,53,9,818
UCL215007,4,0,13,0,12,0,4,3,0,33,0,0,0,0,0,0,0,0,0,0,4,4,0,7,0,0,0,0,0,23,3,3,0,3,3,0,0,0,0,15,170,277,133,80,86,37,16,45,11,867
UCL215008,4,0,10,3,4,3,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,0,7,4,0,3,0,4,0,0,21,104,191,138,105,117,32,36,36,10,766
UCL215009,6,0,8,3,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,10,17,39,40,32,23,11,17,17,3,184
UCL215010,5,0,10,5,9,6,0,4,0,47,0,0,0,0,0,0,0,0,0,0,4,0,4,0,9,0,0,0,0,17,3,0,14,3,6,8,0,3,0,35,175,228,181,68,102,40,17,41,13,859
UCL215011,7,0,10,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,12,30,57,40,43,25,11,22,22,4,254
UCL215012,12,0,26,7,0,8,0,7,0,69,0,0,0,0,0,0,0,0,0,0,8,7,0,0,5,4,0,0,0,27,9,4,0,4,0,5,3,4,3,26,202,395,130,158,82,57,30,74,8,1139
UCL215013,12,0,18,14,13,17,21,13,0,111,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,0,0,18,7,0,6,4,0,7,4,4,4,34,173,297,272,217,194,75,123,82,29,1454
UCL215014,4,0,6,0,7,0,4,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,3,0,0,0,3,0,7,0,3,16,37,61,90,58,44,22,24,39,6,391
UCL215015,19,0,21,15,0,6,6,15,0,75,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,12,4,0,6,0,0,0,0,7,0,14,180,230,127,92,67,52,25,61,6,856
UCL215016,10,0,19,13,14,5,8,12,5,87,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,4,3,0,0,24,5,3,10,5,3,3,3,3,7,41,120,219,252,178,127,55,97,93,30,1163
UCL215017,6,0,15,4,6,6,0,3,3,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,10,3,0,5,3,0,9,7,0,4,33,100,161,223,106,104,29,45,44,26,850
UCL215018,7,4,20,10,3,4,0,15,3,60,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,3,0,13,3,6,3,6,3,0,0,5,3,33,83,196,138,100,61,45,38,72,13,742
UCL215019,4,0,17,6,8,4,0,5,0,47,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,0,0,17,5,5,7,0,4,3,0,5,5,29,109,215,145,96,68,44,17,56,14,766
UCL215020,6,0,10,5,0,3,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,10,25,58,43,64,17,16,14,35,4,273
UCL215021,4,0,9,0,0,5,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,10,38,77,60,63,34,20,27,29,4,344
UCL215022,4,4,19,9,8,9,4,7,3,59,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,0,3,0,0,20,4,6,5,7,6,0,0,5,0,32,106,237,206,202,108,72,77,87,12,1102
UCL215023,0,4,16,4,0,0,4,5,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,5,5,0,22,39,61,64,49,33,16,33,48,3,347
UCL215024,3,4,10,4,5,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,3,0,0,0,0,4,0,9,3,19,54,93,66,52,38,22,19,26,11,378
UCL215025,0,0,11,0,3,6,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,4,4,3,20,28,48,61,46,24,23,17,18,7,286
UCL215026,5,0,3,0,0,4,4,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,14,18,55,58,36,31,20,23,23,6,267
UCL215027,4,0,8,5,7,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,39,79,45,42,33,9,15,36,0,295
UCL215028,10,0,27,9,3,7,0,4,0,63,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,11,3,0,4,0,0,4,0,4,0,13,92,161,162,99,75,34,31,50,7,719
UCL215029,25,0,45,17,5,5,0,8,0,114,0,0,0,0,0,0,0,0,0,0,7,3,3,3,0,4,0,0,0,20,5,0,8,3,0,0,3,4,7,28,236,328,195,174,99,53,18,75,18,1192
UCL215030,0,0,7,0,4,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,24,70,42,53,25,18,31,24,3,290
