UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL422051,4,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,0,0,0,24,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,3,6,9,3,0,0,0,30
UCL422052,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,13
UCL422053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
UCL422054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,16
UCL422055,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,11
UCL422056,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,12
UCL422057,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8
UCL422058,0,0,0,3,0,0,0,4,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,11,0,3,3,0,5,0,0,11,0,0,0,0,0,0,0,0,0,8,5,5,5,0,0,20
UCL422059,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,8,0,0,15
UCL422060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL422061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL422062,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,8
UCL422063,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,6,5,0,0,0,0,14,3,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,14,14,4,0,5,0,0,33
UCL431001,121,263,221,149,160,31,10,953,20,36,12,12,18,0,0,102,8,12,7,7,14,0,0,54,216,517,435,317,414,94,30,2022,9,25,21,13,14,3,0,86,10,18,12,11,7,0,0,52,21,39,29,17,21,3,0,137,238,557,464,336,434,94,31,2159,302,326,196,148,122,30,14,1141,8,10,10,7,0,0,0,42,551,891,673,491,565,121,41,3341
UCL479997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL499994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL501001,3200,6732,4687,3305,3890,1365,751,23922,441,391,258,204,260,97,68,1714,161,235,154,119,152,51,37,903,5983,12814,10026,7640,10000,3864,2378,52706,272,585,426,288,378,118,76,2142,532,1018,550,374,384,75,60,2989,804,1606,977,657,755,190,138,5133,6791,14419,11005,8302,10754,4055,2510,57839,6900,6845,3823,2682,2669,816,512,24240,181,214,155,94,70,20,17,753,13875,21474,14976,11075,13496,4890,3044,82833
UCL511001,154,339,247,208,200,21,3,1173,31,18,24,16,16,0,0,105,13,7,8,4,5,0,0,36,297,608,487,410,498,49,10,2353,11,19,19,14,7,0,0,74,22,54,29,20,14,0,0,140,35,72,46,33,24,4,0,204,330,681,533,445,518,53,16,2562,426,386,219,116,119,13,4,1269,6,4,0,4,3,0,0,22,756,1064,747,565,637,64,15,3850
UCL512001,60,148,114,70,94,11,0,498,7,4,9,5,3,0,0,28,4,3,0,7,3,0,0,20,90,237,211,161,202,14,5,915,0,12,0,3,5,0,0,26,5,8,6,0,3,0,0,31,9,20,10,7,9,0,0,55,102,261,219,162,208,17,9,971,147,166,79,61,56,4,3,513,3,4,0,6,0,0,0,15,248,432,300,227,267,21,7,1499
UCL512002,49,152,124,88,90,9,0,510,9,7,0,3,0,0,5,29,0,4,0,0,0,0,0,6,73,227,214,170,201,13,0,896,0,5,4,0,0,0,0,15,0,9,0,3,0,0,0,18,0,13,10,5,3,0,0,32,74,241,223,172,200,13,0,927,106,90,41,39,37,0,0,316,0,8,0,0,0,0,0,8,179,334,259,212,240,10,4,1256
UCL512003,66,129,113,60,77,0,0,454,14,13,12,10,8,4,0,50,3,3,0,0,0,0,0,14,106,237,237,157,201,14,8,962,3,17,23,11,0,0,0,50,18,23,11,7,7,0,0,71,14,41,30,16,7,0,0,116,125,280,268,176,214,14,9,1084,221,224,107,70,58,10,0,698,3,21,7,10,4,0,0,41,350,520,384,257,274,25,9,1818
UCL512004,50,80,50,32,27,0,0,247,0,4,5,6,0,0,0,19,8,5,9,3,0,0,0,22,112,219,168,120,116,8,0,745,0,4,4,0,3,0,0,23,0,5,7,5,0,0,0,23,5,10,11,7,4,0,0,40,119,231,185,126,125,9,0,787,140,90,45,30,19,0,0,325,14,10,9,3,4,0,0,49,276,336,231,158,138,9,0,1161
UCL513001,28,57,32,20,21,3,0,152,5,0,0,0,0,0,0,10,0,3,0,0,0,0,0,8,71,149,105,76,79,6,0,490,0,0,7,4,3,0,0,17,0,5,7,6,4,0,0,17,0,11,8,9,6,0,0,34,76,159,112,83,85,6,0,520,79,85,47,32,22,0,0,263,9,11,10,4,0,0,0,23,162,250,164,121,108,6,0,813
UCL513002,22,36,11,16,25,0,0,105,0,0,0,3,5,0,0,11,0,4,0,0,3,0,0,4,30,73,44,42,71,3,3,268,0,3,4,0,0,0,0,8,0,5,0,0,0,0,0,12,0,12,4,4,0,0,0,16,30,80,45,46,73,3,3,284,67,54,22,17,14,0,0,181,0,0,0,0,0,0,0,3,104,131,70,69,89,3,3,464
UCL513003,16,29,14,9,16,0,0,76,3,3,3,0,3,0,0,8,0,8,0,3,0,0,0,14,48,87,65,57,51,0,0,317,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,10,3,7,0,4,0,0,0,17,51,94,68,61,53,0,0,332,20,25,16,15,11,0,0,90,0,3,4,0,0,0,0,5,77,122,83,75,63,0,0,425
UCL513004,12,32,12,18,4,0,0,81,0,0,0,0,0,0,0,4,10,7,0,0,3,0,0,18,62,121,65,50,53,9,0,357,8,4,0,8,0,0,0,17,0,3,0,0,0,0,0,11,6,10,7,10,0,0,0,28,66,133,65,55,51,9,0,383,58,54,38,14,15,4,0,176,5,3,0,0,0,0,0,17,129,186,102,70,67,14,0,579
UCL513005,34,61,45,24,22,0,4,197,5,3,3,0,4,0,0,10,4,4,0,0,0,0,0,10,55,121,94,43,60,10,6,383,4,7,8,5,7,0,0,27,3,10,13,4,0,0,0,33,3,22,17,9,11,0,0,63,61,132,109,58,64,9,12,449,72,79,46,27,19,3,4,248,0,0,0,0,0,0,0,6,135,217,154,81,87,12,13,703
UCL514001,10,28,20,14,22,0,0,88,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,20,45,32,31,31,6,0,151,0,11,4,0,0,0,0,18,0,6,3,3,3,0,0,16,0,9,9,8,5,0,0,31,24,56,37,37,37,6,0,187,56,63,26,22,23,5,3,189,0,0,0,0,0,0,0,0,77,120,66,53,52,4,3,375
UCL514002,6,35,29,18,22,0,0,114,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,3,10,55,49,34,44,3,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,57,52,35,44,3,0,197,3,11,6,10,7,0,0,33,0,0,5,0,0,0,0,4,14,68,61,41,48,3,0,234
UCL514003,17,39,47,24,27,4,0,157,0,0,7,0,3,0,0,7,0,0,0,4,0,0,0,3,23,63,74,46,63,4,0,276,0,5,0,0,0,0,0,9,0,3,0,0,3,0,0,3,0,3,3,0,3,0,0,11,24,67,79,52,63,4,0,282,17,15,10,4,7,3,0,56,0,0,0,0,0,0,0,0,35,81,91,58,73,4,0,343
UCL514004,9,24,28,18,27,0,0,103,4,0,0,0,0,0,0,5,3,3,4,0,0,0,0,14,25,47,50,34,59,5,0,221,0,7,3,4,0,0,0,19,5,13,7,0,0,0,0,18,6,16,8,4,4,0,0,41,32,65,60,31,64,5,0,262,58,59,18,19,13,0,0,171,3,0,0,0,0,0,0,4,90,130,76,57,79,5,0,435
UCL515001,0,4,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,19,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,23
UCL515002,0,4,10,3,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,11,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,13,10,8,11,0,0,40,5,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,12,13,8,11,0,0,48
UCL515003,3,5,0,10,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,16,13,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,3,12,9,16,13,0,0,60,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,18,12,10,17,0,0,71
UCL515004,8,14,11,5,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,22,15,16,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,8,29,22,15,16,4,0,89,22,22,12,3,8,4,0,62,0,0,0,0,0,0,0,0,28,50,31,21,19,3,0,147
UCL515005,6,15,17,12,4,0,0,59,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,9,26,28,21,15,0,0,100,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,10,9,24,30,28,12,0,0,106,10,19,9,7,7,0,0,48,0,0,0,0,0,0,0,0,21,46,33,31,20,6,0,156
UCL515006,3,12,16,9,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,18,23,29,10,10,0,0,97,5,3,0,0,0,0,0,13,0,0,0,4,0,0,0,12,7,4,0,3,8,0,0,22,27,31,32,14,17,0,0,119,27,19,17,16,4,0,0,82,0,0,0,0,0,0,0,0,52,52,47,27,24,0,0,201
UCL515007,9,14,6,6,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,14,4,6,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,14,4,6,0,0,60,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,9,24,17,8,6,0,0,69
UCL515008,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,5,0,0,0,0,18,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,7,8,7,0,0,0,0,19
UCL515009,9,21,10,13,20,0,0,68,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,25,19,19,26,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,29,19,19,26,0,0,103,4,8,8,3,3,0,0,33,0,0,0,0,0,0,0,0,12,32,24,20,34,0,0,136
UCL515010,4,0,3,0,0,0,0,7,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,15,9,7,6,0,0,47,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,10,6,15,13,7,6,0,0,52,40,32,20,10,4,0,0,112,0,0,4,0,0,0,0,5,51,53,37,19,10,0,0,170
UCL515011,7,9,4,7,11,0,0,38,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,7,9,9,15,15,0,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,6,13,14,8,15,15,0,0,66,15,13,6,5,4,0,0,46,0,3,0,0,0,0,0,3,27,32,19,18,19,3,0,116
UCL515012,7,17,9,3,0,0,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,31,14,13,14,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,14,13,12,0,0,87,13,12,4,0,4,0,0,38,0,0,0,0,0,0,0,0,23,43,22,13,23,0,0,125
UCL515013,4,5,3,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,9,7,7,0,0,37,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,9,3,5,5,0,0,0,0,9,0,18,8,7,12,0,0,47,3,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,10,25,9,7,12,0,0,65
UCL515014,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,7,0,3,0,0,22,5,9,5,6,0,0,0,37,0,0,0,0,0,0,0,0,10,22,13,7,3,0,0,57
UCL515015,3,13,9,7,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,14,13,8,0,0,58,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,5,0,0,0,0,0,3,9,22,18,11,8,0,0,72,9,10,9,5,0,0,0,29,0,0,0,0,0,0,0,0,16,30,21,18,3,0,0,96
UCL515016,0,7,0,3,5,0,0,11,3,0,5,0,5,0,0,7,0,0,0,0,0,0,0,0,7,10,7,8,8,0,0,37,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,3,3,3,0,0,0,9,9,14,9,14,12,0,0,47,7,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,10,19,9,14,12,0,0,60
UCL515017,0,8,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,7,5,3,0,0,20,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,6,9,5,8,0,0,29
UCL515018,5,6,0,7,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,13,10,12,9,0,0,50,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,3,0,5,4,0,0,8,6,16,10,16,14,0,0,58,15,3,0,5,0,0,0,23,0,0,0,0,0,0,0,0,19,23,12,19,15,0,0,81
UCL515019,10,11,3,4,5,0,0,38,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,21,6,6,9,4,0,57,3,0,6,7,6,0,0,14,0,9,3,0,3,0,0,12,3,7,4,4,8,0,0,26,15,26,11,8,17,5,0,84,29,21,21,5,10,0,0,91,0,0,0,0,0,0,0,0,50,51,29,15,29,0,0,184
UCL515020,4,15,11,3,3,0,0,42,0,3,0,0,0,0,0,6,0,4,0,0,0,0,0,6,14,53,28,18,17,0,0,134,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,7,4,9,3,4,0,0,0,13,19,59,35,24,17,0,0,154,46,42,33,13,9,0,0,138,9,5,0,0,0,0,0,11,65,105,71,34,21,4,0,299
UCL515021,4,10,3,9,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,9,10,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,9,10,0,0,39,0,3,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,10,12,11,10,0,0,47
UCL515022,10,18,14,10,15,0,0,63,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,24,29,24,30,0,0,113,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,7,0,7,0,0,0,0,0,18,16,24,31,27,32,3,0,123,36,25,4,3,7,0,0,79,0,0,0,0,0,0,0,0,51,52,35,30,41,3,0,207
UCL515023,5,7,6,0,6,0,0,21,0,0,4,0,0,0,0,11,0,0,0,3,0,0,0,3,3,16,15,7,9,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,13,20,9,10,3,0,57,16,10,5,4,0,0,0,31,0,0,0,0,0,0,0,7,17,25,24,15,15,3,0,91
UCL515024,0,10,0,3,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,7,8,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,7,8,0,0,35,12,17,10,0,4,0,0,47,0,4,0,0,0,0,0,4,22,33,18,9,9,0,0,93
UCL515025,3,16,10,10,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,10,9,9,6,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,9,26,10,9,10,6,0,63,7,16,3,12,5,3,0,46,0,0,0,0,0,0,0,0,12,43,17,22,20,3,0,111
UCL515026,5,10,7,3,4,0,0,36,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,22,14,7,13,0,0,63,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,19,21,10,7,9,5,0,73,12,16,8,0,0,0,0,37,0,0,0,0,0,0,0,0,29,32,21,10,17,5,0,111
UCL515027,4,26,9,8,10,0,0,62,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,9,35,19,17,26,0,0,109,0,10,3,0,3,0,0,24,0,0,0,0,0,0,0,7,5,11,3,0,3,5,0,27,14,45,24,18,34,5,4,134,17,23,17,6,6,0,0,69,0,0,0,0,0,0,0,5,29,72,39,27,40,5,4,212
UCL515028,3,3,0,0,0,0,0,9,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,34,18,6,13,4,0,82,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,18,8,12,4,0,87,5,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,19,40,19,12,15,4,0,101
UCL515029,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,7,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,7,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,28
UCL515030,3,14,10,9,9,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,19,12,24,4,0,89,0,7,5,0,0,0,0,9,0,7,0,0,0,0,0,10,0,11,5,0,0,0,0,21,5,26,27,15,26,6,0,105,18,27,9,10,15,3,0,83,0,0,0,0,0,0,0,3,28,52,40,27,39,3,0,193
UCL515031,8,14,11,5,8,0,0,43,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,20,19,14,14,0,0,71,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,18,13,14,0,0,71,18,12,9,6,0,0,0,44,0,0,0,0,0,0,0,0,22,27,23,19,21,0,0,118
UCL515032,0,3,0,3,5,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,9,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,3,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,3,4,0,0,0,29
UCL515033,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,15,7,14,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,7,14,0,0,44,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,9,15,7,14,0,0,51
UCL515034,4,14,3,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,9,11,5,0,4,52,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,4,20,9,11,11,0,4,56,17,25,10,0,3,0,0,51,0,0,0,0,0,0,0,0,18,43,19,18,12,0,4,113
UCL515035,0,5,4,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,11,8,7,0,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,9,8,9,7,7,0,0,38,4,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,13,9,13,9,6,0,0,55
UCL515036,3,8,4,7,3,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,16,14,8,13,0,0,61,0,5,0,0,0,0,0,7,7,4,0,0,0,0,0,8,3,4,4,0,0,0,0,19,7,19,17,14,16,0,0,71,13,8,3,3,0,0,0,32,0,0,0,0,0,0,0,0,19,30,23,16,13,0,0,105
