UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL114035,878,82,6,10,6,975,450,25,0,0,0,481,194,117,37,0,0,349,19,5,7,0,0,28,18,18,9,0,0,49,115,34,7,0,3,164,41,10,0,0,0,62,4,0,0,0,0,9,400,183,62,0,9,651,38,8,0,0,0,57,38,7,3,3,0,48,1805,304,79,11,14,2214
UCL114036,1196,152,39,18,5,1421,407,60,12,3,3,487,276,154,77,10,5,521,9,11,0,0,0,17,8,21,0,0,0,32,83,50,13,0,0,154,24,0,0,4,0,25,0,6,0,0,0,6,395,243,94,11,5,753,23,9,4,3,0,33,46,16,7,0,0,62,2069,474,161,44,13,2763
UCL114037,634,62,6,3,0,708,805,22,4,0,3,838,210,62,19,0,0,285,57,0,4,0,0,62,34,4,23,0,0,65,120,18,8,0,0,140,5,0,4,0,0,14,0,0,0,0,0,7,428,87,59,0,3,576,17,21,6,0,0,45,17,4,9,0,5,33,1902,193,79,3,11,2197
UCL114038,997,79,11,5,4,1098,739,31,9,0,0,775,505,166,81,0,0,749,67,15,0,0,0,80,34,15,4,0,0,54,130,29,4,5,0,167,19,9,3,0,0,34,4,4,0,0,0,6,764,235,91,6,3,1097,31,18,0,0,0,53,67,11,3,0,6,91,2596,374,115,15,15,3103
UCL115001,249,0,0,33,0,287,276,0,0,0,0,280,63,28,0,0,0,89,17,0,0,0,0,17,0,0,0,0,0,0,53,4,0,0,0,60,10,4,0,0,0,8,0,0,0,0,0,0,143,34,0,0,0,183,9,0,0,0,0,11,8,0,0,0,0,8,679,42,0,39,0,759
UCL115002,549,69,0,0,6,617,506,69,0,3,0,567,145,85,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,5,60,17,0,3,0,82,0,3,0,0,0,6,0,0,0,0,0,0,210,106,0,3,0,323,12,0,0,0,0,12,11,0,0,0,0,17,1281,239,5,8,6,1539
UCL115003,195,3,0,0,0,204,505,5,0,0,0,513,91,5,4,3,4,100,5,0,0,0,0,5,7,0,0,0,0,7,17,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,130,5,3,3,4,142,4,0,0,0,0,4,7,0,0,0,0,7,841,13,3,9,4,871
UCL115004,372,0,0,28,0,404,151,5,0,6,0,159,42,5,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,40,0,3,10,0,51,20,0,0,20,3,36,0,0,0,0,0,0,95,5,3,24,4,134,4,0,0,0,0,9,8,0,3,11,4,27,633,12,13,65,7,729
UCL115005,173,0,0,3,0,175,94,0,0,0,0,94,21,7,0,0,0,26,15,11,0,0,0,27,4,0,0,0,0,7,34,10,0,0,0,39,17,0,0,0,0,20,3,0,0,0,0,3,93,25,3,0,0,123,13,0,0,0,0,13,9,0,0,0,0,8,369,25,3,3,3,411
UCL115006,215,6,8,0,0,223,306,7,0,5,0,321,112,8,3,0,0,121,5,0,0,0,0,5,3,0,0,0,0,3,44,0,10,3,0,56,0,0,0,0,0,3,0,0,0,0,0,0,164,6,15,0,0,186,6,0,0,0,0,8,14,0,0,0,0,9,708,20,18,5,0,758
UCL115007,326,40,11,19,0,389,529,6,0,0,0,535,99,7,0,0,0,110,0,0,0,0,0,0,8,0,0,0,0,8,29,0,0,3,0,32,3,0,0,20,0,26,0,0,0,0,0,3,140,14,0,24,0,180,23,35,7,0,0,60,5,3,4,7,0,20,1023,92,19,44,0,1185
UCL115008,233,26,3,7,0,274,81,3,0,0,0,87,40,28,6,3,0,75,4,0,0,0,0,4,0,0,0,0,0,0,25,13,3,0,0,42,4,3,0,0,0,11,0,0,0,0,0,0,75,41,9,3,0,127,10,0,0,0,0,10,10,0,0,0,4,18,415,73,16,12,4,515
UCL115009,268,16,4,0,0,290,230,7,0,0,0,234,61,21,10,0,0,95,0,0,0,0,0,0,0,3,0,0,0,5,24,4,0,0,0,33,12,0,0,0,0,15,3,0,0,0,0,3,106,31,11,0,0,152,10,5,0,0,0,11,12,3,5,0,0,19,621,62,18,5,0,704
UCL115010,266,0,0,6,0,269,89,0,0,0,0,89,54,5,5,0,0,64,5,0,0,0,0,10,0,0,0,0,0,0,37,0,0,0,0,40,7,0,0,0,0,7,3,0,0,0,0,3,104,8,5,3,0,118,15,0,0,0,0,12,10,0,0,0,0,15,482,12,10,5,0,506
UCL115011,228,5,0,0,0,233,238,0,0,0,0,234,73,6,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,25,0,4,0,0,0,5,0,0,0,0,0,0,103,6,0,0,0,112,8,8,0,0,0,13,4,5,0,0,5,11,573,26,0,0,5,602
UCL115012,197,0,0,0,0,202,115,0,0,3,0,115,22,0,0,0,0,22,15,0,0,0,0,15,0,12,0,0,0,13,34,0,0,0,0,34,3,0,0,0,0,3,0,0,0,0,0,4,77,13,0,0,0,91,3,0,0,0,0,4,6,0,0,0,0,6,397,16,0,8,0,418
UCL115013,593,41,0,3,0,629,419,15,0,0,5,436,250,35,32,0,0,314,86,34,10,0,0,126,17,17,0,0,0,35,109,9,0,0,0,119,11,3,0,0,0,21,5,5,0,0,0,9,468,104,45,3,0,625,14,18,0,0,0,35,29,8,0,0,3,42,1516,180,47,9,3,1762
UCL115014,430,18,0,4,0,458,380,8,0,0,3,397,167,23,0,0,0,189,13,0,0,0,0,19,13,6,0,0,0,20,92,13,0,0,0,107,8,3,0,0,0,10,0,0,0,0,0,0,294,44,7,0,0,344,13,3,0,0,0,15,11,0,0,0,0,8,1131,75,11,5,7,1227
UCL115015,370,40,18,6,0,426,134,6,8,0,0,147,55,14,29,0,0,96,3,0,0,6,0,14,0,0,0,0,0,0,45,17,4,5,0,66,4,0,0,0,0,8,0,0,0,0,0,0,109,27,32,11,0,182,4,0,0,0,0,7,8,0,0,0,0,9,620,78,53,21,0,773
UCL115016,144,3,4,0,0,157,123,7,0,0,0,136,53,18,5,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,29,6,3,0,0,0,4,0,0,0,0,0,0,78,29,6,0,0,111,4,0,0,0,0,4,7,0,0,0,0,7,348,39,7,0,3,407
UCL115017,428,74,4,0,5,507,224,7,3,0,0,242,59,27,0,5,0,87,3,0,0,0,0,3,5,5,0,0,0,7,27,4,0,0,0,33,8,0,0,0,0,13,0,0,0,0,0,0,96,39,0,4,0,138,76,48,0,0,0,115,7,5,0,0,0,20,830,172,9,7,5,1021
UCL115018,261,0,0,9,0,270,67,0,0,0,0,72,52,11,0,0,0,59,4,0,0,0,0,4,5,3,0,0,0,8,31,0,0,0,0,31,8,0,0,0,0,8,0,0,0,0,0,0,89,13,0,0,0,105,13,0,0,0,0,13,11,0,0,0,0,12,442,14,0,11,0,471
UCL115019,944,6,10,0,0,962,602,4,0,0,0,610,262,20,11,6,0,306,10,5,3,0,0,19,15,5,0,0,0,15,87,0,0,0,0,87,4,0,0,0,0,6,5,0,0,0,0,5,379,29,12,6,3,434,26,4,0,0,0,26,24,0,0,0,0,24,1971,43,30,11,3,2055
UCL115020,380,9,0,3,0,389,355,5,0,4,0,371,197,43,15,0,0,257,34,9,5,0,0,44,13,5,0,0,0,19,67,0,0,0,0,64,4,0,0,0,0,6,5,0,0,0,0,5,317,59,21,3,0,397,16,0,0,0,0,15,13,0,0,0,0,14,1080,72,17,9,3,1185
UCL115021,204,0,0,0,0,205,141,0,0,0,0,140,28,4,0,0,0,35,4,0,0,0,0,6,5,0,0,0,0,0,42,6,8,0,0,56,10,3,0,0,0,11,0,0,0,0,0,0,82,12,9,0,0,108,9,0,0,0,0,9,8,0,0,0,0,8,443,12,5,3,6,468
UCL115022,542,6,0,0,0,549,329,0,0,0,0,329,123,7,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,46,6,0,0,0,0,6,0,0,0,0,0,0,174,10,0,0,3,184,3,0,0,0,0,10,11,0,0,0,0,11,1068,14,0,3,4,1090
UCL115023,241,0,0,5,0,248,143,0,0,0,0,141,52,0,0,0,0,52,0,0,0,0,0,3,0,13,0,0,0,17,34,0,0,0,0,41,0,3,0,0,0,6,0,0,0,0,0,0,93,18,4,0,0,122,9,3,0,0,0,15,9,3,0,0,0,12,494,25,4,9,8,539
UCL115024,139,0,0,0,0,141,110,0,0,0,0,112,38,0,5,0,0,37,41,0,6,0,0,47,26,0,0,0,0,25,32,0,0,0,0,32,48,5,5,0,0,61,0,0,0,0,0,0,185,9,10,0,0,204,15,0,0,0,0,18,21,0,0,0,4,19,469,10,14,3,6,495
UCL115025,112,0,0,0,0,112,324,0,0,0,0,324,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0,4,0,0,0,0,4,493,0,0,0,0,493
UCL115026,211,28,0,0,4,248,146,7,0,5,0,152,76,18,6,9,0,99,3,0,0,0,0,3,0,0,0,0,0,0,33,8,0,5,0,44,6,0,0,0,0,3,0,0,0,0,0,0,113,23,3,5,0,152,7,0,0,0,0,7,14,0,0,0,0,14,494,58,3,9,0,576
UCL115027,241,25,0,4,0,267,449,37,3,0,0,482,147,75,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,38,3,4,0,0,0,4,4,0,0,0,0,4,192,80,0,0,0,276,6,0,0,0,0,7,5,4,0,0,0,12,888,147,6,3,0,1046
UCL115028,389,52,0,0,0,441,247,13,5,0,0,262,77,13,10,0,0,104,0,0,0,0,0,0,6,0,0,0,0,4,56,9,0,0,0,69,7,5,0,0,0,10,0,0,0,0,0,0,138,31,14,0,0,185,13,62,0,0,0,78,18,7,0,0,0,18,804,162,19,3,4,993
UCL115029,191,14,12,48,4,271,108,3,6,4,0,125,69,16,68,17,0,174,0,0,11,0,0,13,10,0,12,0,0,18,33,5,35,6,0,79,0,0,0,3,4,12,0,0,0,0,0,3,110,27,121,27,3,295,9,5,6,3,0,14,10,0,0,0,0,12,429,47,152,82,5,719
UCL115030,234,0,0,7,0,246,104,0,0,0,0,101,52,0,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,0,35,8,0,0,0,0,11,0,0,0,0,0,0,87,5,6,3,0,102,4,0,0,0,0,4,17,0,0,4,0,18,446,7,7,14,0,473
UCL115031,665,9,5,0,0,676,283,0,0,0,0,285,93,10,8,6,0,108,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,125,8,7,6,0,147,16,0,3,0,0,18,11,0,0,0,0,11,1095,17,21,6,0,1138
UCL115032,346,0,4,0,0,349,279,0,7,0,0,290,76,3,0,3,0,80,0,0,0,0,0,0,0,0,0,0,0,3,50,0,5,9,0,55,4,0,0,0,0,4,0,0,0,0,0,0,128,3,4,6,0,139,12,0,0,0,0,12,5,0,0,0,0,5,765,4,13,8,0,795
UCL115033,270,21,6,0,0,298,777,13,13,3,0,805,103,14,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,0,46,0,0,0,0,0,3,0,0,0,0,0,0,153,20,6,0,0,179,5,0,0,0,0,10,11,0,0,0,0,7,1216,56,24,5,3,1303
UCL115034,128,0,0,0,0,128,357,0,0,0,0,357,64,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,76,3,0,0,0,0,3,8,0,0,0,0,8,573,0,0,0,0,572
UCL115035,393,4,0,0,0,398,599,3,0,0,0,601,247,46,3,0,0,298,6,0,0,0,0,6,0,0,0,0,0,0,64,4,0,0,0,63,4,0,0,0,0,10,0,0,0,0,0,0,324,51,3,0,0,377,5,0,0,0,0,5,19,0,0,0,0,19,1341,53,6,0,0,1402
UCL115036,647,8,6,11,0,668,284,5,3,0,0,290,175,18,0,0,0,198,4,0,0,0,0,4,4,0,0,0,0,4,46,3,0,0,0,50,3,0,0,0,0,7,0,0,0,0,0,0,236,21,0,0,0,261,20,0,0,0,0,19,8,0,0,0,0,8,1188,35,7,10,0,1250
UCL115037,187,0,0,0,0,184,174,0,0,0,0,182,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,411
UCL115038,280,0,0,0,0,283,134,3,0,0,0,139,47,14,7,0,0,73,17,0,0,0,0,14,0,0,0,0,0,0,52,3,3,0,0,60,6,0,0,0,0,10,0,0,0,0,0,0,125,24,12,0,0,157,10,0,0,0,0,16,13,0,0,0,0,10,564,24,12,0,0,603
UCL115039,376,0,0,3,0,387,304,0,5,5,0,319,114,23,22,0,0,155,49,3,9,0,0,61,18,4,7,0,0,27,69,0,7,4,0,81,80,12,16,0,0,106,3,0,0,0,0,5,317,46,63,5,0,434,23,0,0,0,0,29,30,0,0,0,0,32,1052,44,68,15,7,1188
UCL115040,175,0,3,0,0,176,241,0,0,0,0,248,70,0,0,0,0,71,0,0,0,0,0,0,4,0,0,0,0,4,28,0,0,0,0,23,4,0,0,0,0,4,0,0,0,0,0,0,96,0,0,0,0,99,4,0,0,0,0,4,8,0,0,0,0,8,527,0,3,6,0,533
UCL115041,342,0,0,0,0,346,238,0,0,5,0,245,73,12,3,0,0,89,57,9,0,0,0,66,20,0,0,0,0,20,81,3,4,0,0,88,25,9,4,0,0,42,9,0,0,0,0,9,272,30,7,4,0,309,28,7,0,0,0,23,28,0,0,0,0,24,900,37,11,4,0,950
UCL115042,259,5,0,0,0,267,233,0,0,0,0,236,67,6,4,0,0,69,3,0,3,0,0,6,6,3,0,0,0,8,40,0,0,0,0,40,10,0,0,0,0,11,0,0,0,0,0,0,118,9,10,0,0,136,19,0,0,0,0,17,16,0,0,0,0,13,642,19,9,4,0,670
UCL115043,352,0,4,4,0,364,195,0,0,0,0,200,100,0,22,0,0,119,35,0,7,0,4,40,3,0,6,0,0,11,74,0,7,0,0,78,13,0,7,0,0,14,0,0,0,0,0,6,223,0,43,0,4,274,13,0,5,0,0,24,19,0,3,4,0,25,805,6,58,7,7,878
UCL115044,291,0,4,0,0,292,186,4,0,0,0,189,48,0,13,0,0,60,66,5,8,0,0,75,20,5,4,0,0,25,83,0,3,0,0,94,15,9,5,0,0,35,3,0,0,0,0,5,236,20,34,0,0,295,20,0,7,0,0,27,35,0,0,0,0,41,772,22,44,5,0,843
UCL115045,162,6,0,0,0,169,125,3,0,4,0,133,26,0,0,0,0,30,4,0,0,0,0,4,3,0,0,0,0,3,30,0,0,0,0,29,3,0,0,0,0,3,0,0,0,0,0,0,71,3,0,0,0,77,0,5,0,0,0,8,12,0,0,0,0,10,371,9,4,4,0,398
UCL115046,188,0,0,0,0,196,225,0,0,0,0,222,95,7,0,0,0,102,0,0,0,0,0,0,3,0,0,0,0,3,32,0,0,0,0,40,7,0,0,0,0,5,0,0,0,0,0,0,139,7,0,3,3,149,0,0,0,0,0,0,14,0,0,0,0,14,570,7,0,7,3,581
UCL115047,437,17,0,0,0,459,220,3,0,0,0,226,82,7,4,0,0,89,13,0,0,0,0,13,4,4,0,0,0,9,45,4,0,0,0,47,6,0,0,0,0,7,0,0,0,0,0,0,142,19,0,0,0,164,18,5,0,0,0,27,11,3,0,0,0,18,831,48,6,6,4,891
UCL115048,661,21,3,0,0,698,373,10,0,0,0,382,163,32,12,3,0,206,7,0,0,0,0,7,19,0,0,0,0,19,100,4,0,4,0,106,7,0,0,0,0,12,6,0,0,0,0,6,283,42,13,10,0,349,30,34,0,0,0,66,27,4,0,0,0,34,1381,115,18,12,0,1527
UCL115049,186,0,0,0,0,186,150,0,0,0,0,152,40,4,0,0,0,46,6,3,0,0,0,14,4,3,0,0,0,3,25,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,74,12,0,0,0,90,7,0,0,0,0,11,18,0,0,0,0,17,429,16,0,0,0,448
UCL115050,176,8,0,0,0,186,312,13,0,0,0,330,80,15,0,0,0,92,4,0,0,0,0,4,0,0,0,0,0,0,15,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0,115,0,0,0,0,0,0,4,0,0,0,0,6,600,40,0,0,0,643
UCL115051,414,6,17,0,0,439,206,3,4,0,0,206,52,0,40,0,0,91,3,0,4,0,0,9,6,0,0,0,0,5,42,0,6,0,0,48,0,0,0,0,0,0,3,0,0,0,0,3,106,0,46,0,0,158,19,0,4,0,0,23,15,0,3,0,0,24,766,10,67,0,0,843
UCL115052,198,11,0,3,6,217,206,8,6,0,0,212,49,25,18,0,0,96,4,0,0,0,0,6,3,0,0,0,0,3,37,0,0,0,0,41,5,0,0,0,0,12,0,0,0,0,0,0,104,33,19,3,4,160,4,16,0,0,0,24,8,0,0,0,0,9,521,71,25,6,3,623
UCL115053,252,4,0,0,0,258,108,0,0,0,0,105,46,10,9,3,0,58,5,0,0,0,0,9,0,0,0,0,0,0,26,0,4,0,0,29,6,0,0,0,0,6,0,0,0,0,0,0,76,11,9,5,0,101,3,0,0,0,0,3,10,0,0,0,0,6,446,16,10,7,0,482
UCL115054,131,3,0,0,0,135,164,4,0,0,0,171,8,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,22,3,0,0,0,0,3,4,0,0,0,0,4,324,10,3,0,0,339
UCL115055,383,4,0,0,0,397,250,6,0,0,0,259,103,24,0,0,0,134,17,0,0,0,0,19,9,0,0,0,0,7,54,0,0,0,0,58,9,0,0,0,0,7,0,0,0,0,0,0,196,28,3,0,4,235,12,8,0,0,0,19,12,0,0,0,0,12,858,46,4,5,6,922
UCL115056,487,30,13,35,0,567,235,21,0,0,0,256,109,62,35,0,0,204,82,7,0,0,0,93,8,0,0,0,0,11,58,17,0,5,3,78,4,0,0,0,0,12,4,0,0,0,0,8,266,91,32,3,3,406,16,17,0,0,4,38,24,8,0,0,0,32,1034,169,49,38,8,1297
UCL115057,332,125,19,42,3,519,153,53,10,0,0,221,97,158,47,0,0,304,6,10,0,0,0,17,9,18,0,0,0,26,51,37,7,0,0,98,9,3,7,4,0,17,0,7,0,0,0,7,172,228,60,4,5,467,11,10,0,0,0,20,17,7,9,0,0,26,686,428,90,50,4,1251
UCL115058,239,98,3,4,0,346,67,27,0,6,0,104,40,59,0,0,0,107,0,4,0,0,0,11,0,12,0,0,0,12,11,15,0,0,0,30,0,12,0,0,0,6,0,0,0,0,0,0,58,101,0,0,0,161,4,84,0,0,0,87,0,7,0,0,0,5,362,320,7,10,0,703
UCL115059,329,13,0,0,3,348,197,3,0,0,0,199,55,23,0,0,0,86,8,0,0,0,0,8,7,0,0,0,0,7,45,8,0,0,0,61,7,4,4,0,0,15,3,0,0,0,0,3,127,49,3,0,0,177,9,3,0,0,3,12,9,0,0,0,3,13,671,69,8,4,12,754
UCL115060,132,0,5,4,0,140,328,0,11,0,0,331,129,0,51,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,38,38,0,0,5,0,43,0,0,0,0,0,0,205,0,53,8,0,269,4,0,0,0,0,4,5,0,0,0,0,5,666,0,66,10,0,745
UCL115061,167,0,0,0,0,166,119,4,0,0,0,123,53,12,7,0,0,68,0,0,0,0,0,0,0,0,3,0,0,10,19,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,84,12,9,0,0,103,24,0,0,0,0,24,7,0,0,0,0,7,402,13,13,0,0,427
UCL115062,154,0,0,0,0,154,228,0,0,0,0,228,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,0,0,0,0,0,0,7,0,0,0,0,7,453,0,0,0,0,453
UCL115063,140,8,11,0,0,159,182,8,11,0,0,196,25,4,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,37,9,10,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,360,22,27,0,0,415
UCL115064,643,68,26,0,6,737,459,45,10,4,0,508,120,61,30,0,0,208,0,13,7,0,0,21,5,15,3,0,0,19,45,4,6,0,0,59,3,0,0,0,0,3,0,0,0,0,0,0,170,97,43,0,3,316,8,39,8,0,0,51,13,9,0,0,0,15,1292,250,81,7,4,1635
UCL115065,344,10,0,3,0,356,200,4,0,0,0,204,110,0,41,0,0,151,49,0,0,0,0,51,10,3,0,0,0,17,62,0,5,0,0,69,15,6,7,0,0,21,12,0,0,0,0,12,254,8,51,0,0,313,17,8,0,0,0,35,31,6,0,8,0,41,852,35,47,9,0,947
UCL115066,221,0,0,0,0,222,468,0,0,0,0,466,97,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,119,8,0,0,0,0,8,10,0,0,0,0,10,825,0,3,0,0,827
UCL115067,496,11,0,0,0,517,213,3,0,3,0,217,142,33,19,9,0,204,27,6,0,0,0,36,6,7,0,0,0,15,44,3,8,5,0,59,3,5,0,0,0,15,3,0,0,0,0,4,228,58,26,13,0,326,12,0,0,0,0,14,19,0,0,0,0,22,972,75,29,17,3,1103
UCL115068,260,4,0,14,8,291,133,0,0,3,0,141,52,12,5,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,28,8,0,0,10,0,18,0,0,0,0,0,0,82,16,5,10,4,112,4,0,0,0,0,9,9,0,4,0,0,11,494,23,5,28,11,557
UCL115069,430,10,5,0,0,449,216,3,0,0,0,219,57,9,20,0,0,89,14,0,4,0,0,22,19,0,7,0,0,27,47,5,5,0,0,55,10,0,0,3,0,16,6,0,0,0,0,6,159,12,41,3,0,213,13,0,3,0,0,17,16,0,3,0,0,21,827,35,46,8,0,912
UCL115070,272,0,0,0,0,276,594,4,0,0,6,602,156,32,3,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,191,33,3,0,0,231,4,0,0,0,0,6,8,0,0,0,0,8,1076,42,3,0,9,1124
UCL115071,292,0,3,4,0,299,242,6,0,6,0,247,133,12,16,0,0,158,9,0,4,0,0,14,6,8,0,0,0,12,34,0,0,0,0,35,7,0,0,0,4,10,0,0,0,0,0,0,187,17,18,3,4,228,9,0,0,0,0,12,17,0,0,0,0,18,742,21,22,12,3,800
UCL115072,364,0,0,0,0,368,254,0,0,3,0,254,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,3,0,0,0,0,3,7,0,0,0,0,7,655,0,0,4,0,662
UCL115073,314,0,13,4,0,339,179,5,5,0,0,184,74,5,26,0,0,102,21,0,6,0,0,28,0,0,0,0,0,0,45,0,3,0,0,55,11,0,3,0,0,14,0,0,0,0,0,4,147,9,47,0,0,198,14,0,0,0,0,20,13,0,0,0,0,14,667,6,69,10,4,758
UCL115074,307,3,0,0,0,312,182,0,0,0,0,181,112,6,16,0,0,128,13,0,0,0,0,11,3,0,0,0,0,3,45,3,0,0,0,47,11,0,0,3,0,9,0,0,0,0,0,0,173,14,16,3,0,209,16,0,0,0,0,16,18,0,0,15,0,31,696,18,16,21,0,746
UCL115075,206,13,3,9,0,235,82,3,3,0,0,86,28,11,12,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,0,16,6,0,0,0,0,11,0,0,0,0,0,0,46,13,9,0,0,76,102,0,0,0,0,102,4,0,0,0,0,4,443,31,18,7,0,510
UCL115076,328,9,0,11,0,347,221,3,0,0,0,226,56,0,4,6,0,65,5,0,0,0,0,11,9,0,0,0,0,9,45,0,4,0,0,53,3,0,4,3,0,14,0,0,0,0,0,0,126,0,13,5,0,148,14,3,0,3,0,16,27,0,0,0,0,31,708,19,13,20,0,764
UCL115077,854,71,18,35,0,972,209,11,0,3,0,224,147,34,45,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,26,8,6,0,0,35,5,0,0,7,0,11,0,0,0,0,0,5,184,40,53,3,0,280,17,0,0,0,0,20,17,0,0,0,0,24,1273,120,74,51,0,1517
UCL115078,284,33,14,0,0,334,72,8,5,0,0,86,59,47,19,0,6,131,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,74,56,26,0,6,156,13,0,0,0,0,13,9,0,0,4,5,16,452,105,44,4,10,609
UCL115079,356,6,0,3,0,374,195,0,0,0,0,202,75,27,5,0,0,111,30,3,0,0,0,30,0,5,0,0,0,5,81,14,0,0,0,97,23,4,0,0,0,27,0,6,0,0,0,7,209,56,12,0,0,280,17,0,0,0,0,17,26,4,0,0,0,32,813,75,12,3,4,899
UCL115080,191,0,3,0,0,191,476,0,0,0,0,479,85,0,0,0,0,92,0,0,0,0,0,0,3,0,0,0,0,3,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,114,6,0,0,0,0,5,13,0,0,0,0,13,798,0,4,0,0,802
