SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10001,33662,35646,69309,14661,8366,23032,4131,9423,13552,1047,1361,2409,960,764,1726,20803,19913,40714,10573,13485,24058,4.6,3.8,4.2,61.8,55.9,58.7,58.9,53.7,56.3,900,1165,2066,448,995,1436,2946,5057,8007,2309,3651,5959,9300,5273,14570,329,618,941,461,817,1280,10088,6714,16797,32337,33756,66089,5829,6235,12066,21051,21742,42798,14959,16187,31151
SED10002,51488,46221,97708,14171,10258,24426,6849,7429,14275,4498,3207,7702,2582,1698,4280,28099,22587,50686,19347,20414,39761,9.2,7.5,8.4,54.6,48.9,51.9,49.6,45.2,47.5,4724,4463,9182,498,825,1324,9679,9908,19584,4449,4749,9198,4381,2441,6822,261,410,674,570,727,1297,5213,3582,8798,44049,41294,85342,11773,10509,22281,24894,24697,49592,27530,24174,51700
SED10003,32722,36335,69054,10695,6847,17548,6501,10679,17176,1264,1511,2776,854,788,1644,19315,19831,39143,10858,13788,24646,4.4,4,4.2,59,54.6,56.7,56.4,52.4,54.3,1451,2041,3496,583,1183,1765,5193,7546,12739,2822,4538,7359,7805,3937,11744,257,504,760,570,999,1572,8631,5442,14072,30135,32125,62260,6062,7027,13092,19232,20145,39379,15204,17399,32600
SED10004,33882,36952,70834,16250,13998,30248,4650,7183,11830,1716,2348,4061,1165,1075,2243,23780,24595,48375,8157,10493,18653,4.9,4.4,4.6,70.2,66.6,68.3,66.7,63.7,65.1,5427,6596,12026,988,1671,2663,10565,12313,22879,2815,3505,6320,3119,1599,4716,188,281,465,431,583,1015,3739,2455,6201,29072,31362,60425,8522,9161,17682,16956,18680,35636,18795,20150,38942
SED10005,36840,37363,74197,8522,6015,14530,4022,4808,8829,3493,2527,6023,1697,1232,2930,17735,14585,32318,15840,19489,35336,9.6,8.5,9.1,48.1,39,43.6,43.5,35.7,39.6,1858,1606,3468,278,428,703,4927,5400,10325,2628,3543,6169,4673,2631,7300,267,474,743,513,760,1271,5449,3861,9312,36949,37555,74509,5523,5438,10962,24483,25122,49600,15058,14997,30056
SED10006,29688,30242,59934,12003,7402,19403,2662,5931,8594,1024,1111,2127,912,682,1587,16594,15119,31709,9282,11227,20512,5.5,4.5,5,55.9,50,52.9,52.8,47.7,50.3,381,537,912,179,527,705,1445,3178,4631,1288,2326,3612,6850,3897,10746,300,561,866,392,633,1025,7546,5092,12637,27444,27278,54724,3981,4341,8321,20284,19911,40192,9281,10003,19285
SED10007,33124,32851,65979,13281,8127,21411,3857,7940,11793,1169,1319,2489,953,720,1670,19261,18109,37363,11637,12680,24321,5,4,4.5,58.1,55.1,56.6,55.3,52.9,54.1,959,1090,2051,390,842,1236,2664,4591,7254,1993,3256,5248,9321,4876,14195,377,686,1065,533,923,1462,10238,6484,16719,30839,31201,62039,5282,5645,10931,20682,20725,41406,13531,14406,27941
SED10008,34506,36350,70857,15736,10804,26538,4592,7698,12291,2096,2375,4474,1026,862,1886,23453,21736,45192,10155,13596,23755,4.4,4,4.2,68,59.8,63.8,65,57.4,61.1,5003,4534,9533,768,1128,1896,9123,10087,19214,3222,4199,7421,4752,2192,6948,184,354,536,596,985,1574,5527,3528,9057,36788,37798,74586,5506,5757,11263,25267,26051,51315,14950,15465,30417
SED10009,31831,33650,65484,9280,5832,15114,4593,8003,12596,1127,1244,2362,704,491,1196,15695,15571,31268,13776,15701,29474,4.5,3.2,3.8,49.3,46.3,47.7,47.1,44.8,45.9,1015,1269,2278,528,1106,1639,3033,4596,7631,2282,3725,6007,9109,4672,13785,319,613,930,592,969,1561,10013,6261,16272,29489,30604,60093,4735,5159,9897,19654,20268,39922,13123,14154,27280
SED10010,37176,37048,74230,13031,9300,22327,5041,6426,11464,3338,2486,5824,1544,1310,2859,22958,19511,42475,11712,15203,26917,6.7,6.7,6.7,61.8,52.7,57.2,57.6,49.1,53.4,2630,2900,5525,374,655,1033,6168,7292,13460,3376,3458,6834,5955,3448,9402,292,509,806,531,789,1324,6785,4748,11529,36842,36598,73441,6121,5931,12055,23698,23993,47693,16594,15982,32582
SED10011,28560,31147,59708,10580,6958,17537,4425,7394,11813,1760,2217,3980,801,551,1353,17567,17109,34679,9973,12920,22898,4.6,3.2,3.9,61.5,54.9,58.1,58.7,53.2,55.8,2311,3015,5323,765,1448,2206,4832,6822,11652,2880,4083,6961,6792,3451,10241,265,432,704,577,879,1451,7637,4768,12398,29539,31665,61205,3833,4004,7837,21140,22716,43857,10710,11414,22121
SED10012,33898,35915,69815,8134,5850,13985,3438,4442,7878,3030,2379,5413,1448,1114,2558,16052,13787,29840,15619,19826,35444,9,8.1,8.6,47.3,38.4,42.7,43.1,35.3,39.1,616,731,1344,144,265,410,3448,4161,7606,2109,2776,4883,4244,2519,6766,242,462,706,417,607,1025,4906,3593,8494,35128,36493,71616,3667,3733,7394,25837,26854,52692,11143,11547,22686
SED10013,47901,50690,98596,22859,14927,37787,6715,11671,18384,3978,4632,8609,1172,1181,2358,34722,32413,67133,11218,16302,27521,3.4,3.6,3.5,72.5,63.9,68.1,70,61.6,65.7,2166,2775,4940,512,1192,1698,5656,8684,14334,4315,6244,10554,13153,6637,19788,335,776,1107,861,1311,2173,14348,8722,23071,51403,52933,104334,9720,10163,19880,27202,27863,55068,28842,30497,59334
SED10014,32012,34142,66156,10780,7666,18446,3732,5796,9526,3219,2473,5691,1262,1099,2358,18995,17027,36027,10868,14861,25722,6.6,6.4,6.5,59.3,49.9,54.5,55.4,46.7,50.9,1235,1340,2578,268,569,833,3078,4223,7308,2374,3453,5828,7072,4442,11511,320,644,958,508,883,1388,7897,5962,13859,32957,34500,67460,4893,4952,9841,21510,22242,43745,13962,14848,28815
SED10015,39286,39779,79063,10883,8876,19760,4679,6662,11345,4325,3331,7653,1453,988,2442,21337,19862,41202,15196,17222,32419,6.8,5,5.9,54.3,49.9,52.1,50.6,47.4,49,2699,2829,5531,494,838,1331,6736,8035,14770,3462,4175,7640,5165,2608,7778,256,424,679,588,930,1519,6010,3965,9976,37469,37665,75134,6295,6033,12337,24793,25743,50541,16729,15917,32638
SED10016,39385,41613,80997,19615,13163,32771,5400,9380,14778,2361,3144,5512,1256,1023,2281,28635,26707,55344,9653,13833,23485,4.4,3.8,4.1,72.7,64.2,68.3,69.5,61.7,65.5,4838,4473,9317,818,1232,2049,9485,11246,20732,3908,4951,8852,6194,2964,9155,200,466,672,685,1110,1792,7073,4540,11618,41516,42895,84409,7883,8165,16052,24556,25265,49821,22101,23115,45214
SED10017,34610,35156,69765,14637,8098,22738,3954,9128,13080,1385,1936,3321,1144,926,2072,21118,20089,41212,11818,13383,25199,5.4,4.6,5,61,57.2,59.1,57.7,54.5,56.1,552,722,1271,201,581,779,1969,3592,5566,1946,3391,5337,11331,6731,18068,402,834,1245,488,925,1416,12227,8497,20724,33954,35108,69064,5689,6233,11925,21624,22034,43651,15467,16829,32294
SED10018,29468,32048,61524,12900,7956,20855,4343,9107,13453,1082,1439,2523,919,680,1603,19249,19179,38431,9083,11645,20729,4.8,3.6,4.2,65.3,59.8,62.5,62.2,57.7,59.9,1555,1703,3258,483,1005,1496,4556,6394,10951,2584,3513,6092,7958,4052,12007,277,497,777,489,927,1418,8722,5477,14195,30635,32202,62827,4498,4971,9471,21424,22465,43890,11788,12923,24712
SED10019,32059,32658,64716,9590,6012,15604,3987,7178,11162,1032,1101,2132,987,760,1749,15598,15045,30644,13897,15084,28977,6.3,5.1,5.7,48.7,46.1,47.4,45.6,43.7,44.7,508,579,1089,296,620,905,1889,3332,5224,1670,3064,4736,8659,5240,13901,392,705,1096,556,959,1518,9601,6909,16510,29588,30490,60077,4614,4881,9498,20481,20544,41028,12018,13212,25233
SED10020,30944,33851,64798,10821,7241,18067,4882,8875,13763,1014,1218,2227,1072,847,1911,17785,18181,35969,11130,13496,24626,6,4.6,5.3,57.5,53.7,55.5,54,51.2,52.6,918,1160,2076,440,910,1356,3304,5047,8352,2291,3923,6214,8436,4925,13360,348,606,960,576,926,1507,9362,6463,15825,29759,31824,61579,5433,5957,11391,19003,20173,39170,14388,15872,30265
SED10021,32714,36979,69698,16304,14304,30602,4445,7264,11706,1689,2352,4036,860,814,1666,23293,24724,48019,7373,10005,17375,3.7,3.3,3.5,71.2,66.9,68.9,68.6,64.7,66.5,4820,5495,10321,743,1380,2126,10325,13213,23542,2467,3604,6068,3794,1575,5369,122,249,365,429,660,1089,4343,2479,6827,28550,31143,59695,8021,9250,17272,16821,18587,35409,17902,20059,37959
SED10022,29587,29708,59293,11900,6378,18278,2912,6965,9880,962,1080,2044,749,591,1340,16522,15022,31545,10771,12521,23294,4.5,4,4.3,55.9,50.6,53.2,53.3,48.6,50.9,390,501,896,190,547,742,1631,3267,4898,1456,2746,4204,7529,4208,11736,333,628,963,431,743,1171,8296,5584,13877,28187,28736,56924,3945,4135,8086,20144,20249,40397,10285,11031,21319
SED10023,31153,33116,64271,14102,9265,23365,4674,8445,13119,1933,2592,4522,733,519,1253,21441,20816,42262,8651,11145,19796,3.4,2.5,3,68.8,62.9,65.8,66.5,61.3,63.8,1992,2007,4002,608,1050,1659,5652,7479,13131,3225,4587,7814,8262,3040,11303,230,463,693,690,1199,1886,9178,4704,13885,31641,32700,64347,5139,5393,10534,21326,22224,43557,13601,14155,27751
SED10024,30843,33810,64649,13504,8808,22318,4550,7681,12233,1420,2054,3475,838,675,1513,20319,19226,39538,9826,13719,23537,4.1,3.5,3.8,65.9,56.9,61.2,63.2,54.9,58.8,5203,4687,9882,812,1320,2138,9385,10299,19683,2583,3873,6454,2686,1318,4007,148,262,415,514,892,1403,3346,2472,5821,33666,35538,69201,4611,4898,9505,23877,25305,49181,12760,13628,26388
SED10025,32376,36335,68709,14660,11628,26289,4481,7137,11623,1930,2384,4317,918,776,1696,21987,21932,43924,8989,12754,21740,4.2,3.5,3.9,67.9,60.4,63.9,65.1,58.2,61.5,4144,4559,8704,703,1236,1940,8532,10238,18771,3015,4116,7137,4395,2012,6405,193,309,507,590,939,1530,5182,3254,8437,30703,33584,64292,6404,6963,13367,19773,22047,41825,15397,16802,32201
SED10026,32109,33140,65249,14768,9245,24011,3479,7903,11382,1102,1390,2490,775,658,1431,20118,19195,39317,9134,11126,20256,3.8,3.4,3.6,62.7,57.9,60.3,60.2,55.9,58.1,860,1120,1971,290,730,1020,2609,4747,7352,1767,3150,4920,8879,4984,13864,320,645,967,463,855,1325,9665,6488,16155,30308,31424,61732,5658,5912,11564,19355,19605,38965,14301,15479,29777
SED10027,32363,34181,66547,10459,7953,18412,3521,5954,9472,3481,2632,6117,1000,754,1745,18462,17292,35754,12086,14941,27024,5.4,4.3,4.9,57,50.6,53.7,54,48.4,51.1,1632,1842,3470,334,693,1022,4839,6059,10900,2726,3671,6388,6311,2824,9129,234,440,678,620,902,1515,7166,4162,11327,34015,35311,69329,4213,4243,8456,23957,24953,48912,12077,12567,24647
SED10028,34371,37527,71896,15041,10632,25668,4525,7533,12059,1975,2138,4115,1099,1006,2102,22632,21311,43946,10604,14800,25410,4.8,4.7,4.8,65.9,56.8,61.1,62.7,54.1,58.2,6611,5706,12313,866,1269,2137,10254,11460,21716,2873,3862,6739,2923,1581,4505,183,288,470,488,876,1360,3590,2745,6332,35397,37769,73171,5977,6133,12113,23307,24985,48294,16295,17164,33456
SED10029,37203,38459,75660,7559,5630,13185,3326,4197,7523,2976,2188,5162,1720,1164,2885,15581,13178,28755,18589,22253,40841,11,8.8,10,41.9,34.3,38,37.3,31.2,34.2,712,764,1473,162,311,470,3629,4130,7756,2347,3035,5381,4354,2638,6988,273,467,733,433,669,1110,5056,3773,8828,38065,38927,76992,4542,4582,9118,25861,26743,52597,14326,14555,28880
SED10030,31382,34268,65657,11155,7382,18541,4532,7424,11961,1761,2290,4057,1059,827,1890,18511,17934,36442,11051,14379,25429,5.7,4.6,5.2,59,52.3,55.5,55.6,49.9,52.6,1438,1655,3092,411,847,1261,3864,5335,9193,2541,4098,6639,7926,4492,12419,347,578,922,664,1012,1676,8934,6080,15010,30161,32104,62261,5319,5565,10880,19633,20846,40480,14010,15117,29128
SED10031,33152,34048,67195,14206,8684,22891,4257,8328,12582,1207,1526,2736,737,612,1348,20411,19146,39558,10512,12740,23251,3.6,3.2,3.4,61.6,56.2,58.9,59.3,54.5,56.9,1464,1606,3072,518,1084,1603,3410,5270,8676,2546,3942,6486,8802,4574,13371,304,610,919,584,996,1576,9689,6180,15865,31907,32629,64536,5126,5371,10503,21565,21742,43302,13632,14538,28166
SED10032,42386,40430,82817,12243,8779,21018,5210,5996,11208,3553,2440,5990,2044,1531,3574,23060,18737,41796,15490,18420,33906,8.9,8.2,8.6,54.4,46.3,50.5,49.6,42.6,46.2,3957,3361,7317,453,666,1115,7245,7788,15028,3407,4026,7432,4847,2764,7613,253,469,723,540,796,1345,5642,4036,9677,39679,38708,78388,8632,7608,16233,23188,23530,46720,21732,19761,41497
SED10033,31229,31835,63057,13418,8143,21562,4576,7814,12392,2329,2550,4883,693,559,1250,21022,19075,40092,8703,11340,20044,3.3,2.9,3.1,67.3,59.9,63.6,65.1,58.2,61.6,977,1379,2358,302,784,1083,2639,4500,7135,2401,3971,6373,10273,4569,14840,234,617,852,531,942,1467,11036,6132,17172,32241,32231,64477,4581,4725,9305,22325,22312,44647,12453,12767,25223
SED10034,30278,32227,62505,14188,8914,23104,4142,8457,12596,1907,2495,4407,685,559,1249,20925,20426,41350,8425,10627,19057,3.3,2.7,3,69.1,63.4,66.2,66.8,61.6,64.2,1772,2126,3904,531,1138,1670,4773,6554,11328,3083,4214,7297,8867,3538,12405,216,469,692,612,1171,1781,9693,5181,14882,32624,33885,66515,3921,4020,7943,23784,24490,48271,10774,11389,22162
SED10035,53320,50762,104085,24592,19408,43999,7841,9321,17163,3404,3592,7001,1957,1727,3687,37792,34052,71844,12279,13888,26170,5.2,5.1,5.1,70.9,67.1,69,67.2,63.7,65.5,7569,7845,15412,1014,1435,2444,15426,16583,32010,4747,4980,9725,5608,2529,8134,287,380,673,649,788,1437,6543,3694,10239,38217,36455,74671,17880,17072,34954,18929,18829,37762,34684,32489,67174
SED10036,34721,35765,70485,12392,9019,21410,3870,6212,10083,3442,2552,5997,1197,992,2189,20908,18772,39680,11628,14835,26466,5.7,5.3,5.5,60.2,52.5,56.3,56.8,49.7,53.2,1707,1851,3558,323,617,941,4680,6213,10893,3142,4004,7148,6924,3305,10236,231,498,732,562,920,1477,7719,4725,12447,37318,38023,75340,4482,4457,8935,26327,27055,53389,12871,13028,25900
SED10037,33003,34529,67533,15019,10116,25134,4874,8523,13399,1766,2173,3938,935,776,1709,22594,21585,44177,9529,12044,21572,4.1,3.6,3.9,68.5,62.5,65.4,65.6,60.3,62.9,4099,3964,8064,821,1337,2149,8026,9445,17478,3196,4274,7465,5340,2564,7905,244,419,657,647,1043,1681,6222,4022,10245,34929,35807,70732,5022,5083,10104,24280,24951,49232,13783,14109,27893
SED10038,32245,34693,66940,12867,7678,20544,4554,8651,13201,1869,2486,4353,970,838,1810,20262,19650,39913,10686,13619,24303,4.8,4.3,4.5,62.8,56.6,59.6,59.8,54.2,56.9,2574,2778,5359,657,1311,1963,5317,6944,12258,2845,3732,6578,8073,3730,11806,267,522,793,529,994,1524,8878,5246,14121,33287,34856,68141,4850,5088,9945,23565,24853,48418,12526,13144,25671
SED10039,31791,33158,64951,12434,6930,19364,4182,8505,12686,1426,1885,3314,715,595,1311,18757,17913,36669,11475,13620,25093,3.8,3.3,3.6,59,54,56.5,56.8,52.2,54.4,1280,1526,2810,457,1131,1587,3731,5238,8974,2721,4118,6841,9543,4705,14247,298,628,924,559,1145,1707,10399,6482,16878,31018,32285,63299,4941,5318,10262,20589,21358,41946,13450,14495,27949
SED10040,39189,40278,79463,12566,9915,22475,6261,7784,14043,3365,2885,6251,1660,1169,2826,23852,21749,45598,13220,16375,29597,7,5.4,6.2,60.9,54,57.4,56.6,51.1,53.8,4073,4001,8079,498,782,1283,8533,9375,17909,3919,4444,8359,4377,2415,6790,209,383,600,545,882,1424,5129,3679,8813,35876,36957,72836,8102,7578,15675,23087,24542,47628,18688,18001,36693
SED10041,33270,37016,70283,15082,10320,25401,4577,7904,12478,1537,2049,3590,1052,859,1913,22245,21129,43381,10054,14704,24762,4.7,4.1,4.4,66.9,57.1,61.7,63.7,54.8,59,6340,5721,12062,970,1527,2499,10709,11856,22564,2648,3929,6575,2358,1361,3710,151,250,403,459,839,1299,2959,2453,5413,34189,36881,71073,6147,6581,12727,22095,23953,46045,16320,17637,33959
SED10042,31967,34159,66127,12213,7051,19262,4076,8341,12410,1308,1652,2954,1060,770,1830,18650,17807,36460,11797,14766,26562,5.7,4.3,5,58.4,52.1,55.1,55,49.9,52.4,1114,1166,2279,397,806,1206,2950,4756,7707,2526,3910,6436,10137,5285,15418,324,648,970,614,1082,1697,11069,7023,18092,31575,32977,64555,5184,5516,10700,20794,21437,42228,14013,15181,29202
SED10043,38344,36673,75022,8364,5639,14000,4795,4756,9548,3670,2391,6059,1994,1226,3221,18822,14008,32828,16252,19771,36028,10.6,8.7,9.8,49.1,38.2,43.8,43.9,34.9,39.5,2955,2099,5054,324,481,808,5854,5762,11613,2851,3386,6237,4363,2420,6786,224,413,632,484,711,1200,5068,3543,8613,38837,37595,76438,6162,5246,11409,25666,25920,51587,16232,14200,30432
SED10044,35221,38118,73341,17289,13164,30450,4917,7817,12736,1802,2295,4099,958,847,1808,24960,24133,49097,8815,12149,20959,3.8,3.5,3.7,70.9,63.3,66.9,68.2,61.1,64.5,5549,5671,11215,914,1478,2393,10922,12339,23258,3031,4041,7071,3548,1795,5342,177,329,502,529,883,1405,4254,3001,7255,34227,35920,70150,7034,7316,14345,21006,22417,43424,18251,18831,37079
SED10045,31130,32807,63936,10331,6588,16918,4881,8406,13285,995,1202,2198,1089,807,1891,17298,16997,34293,11132,13026,24163,6.3,4.7,5.5,55.6,51.8,53.6,52.1,49.4,50.7,979,1166,2148,445,1001,1443,3138,5035,8171,2057,3486,5541,7852,4611,12460,345,630,977,484,888,1376,8679,6132,14813,29387,30396,59786,4584,4980,9563,20144,20513,40654,12290,13417,25708
SED10046,37435,38998,76428,10152,7517,17662,4121,5508,9632,3545,2433,5974,1782,1354,3140,19597,16810,36407,15065,19376,34441,9.1,8.1,8.6,52.4,43.1,47.6,47.6,39.6,43.5,1278,1439,2714,211,445,657,4006,5099,9111,2852,3908,6764,5884,3621,9505,293,593,880,513,882,1391,6686,5096,11777,39186,39878,79067,4936,5252,10185,26255,26740,52995,15060,15778,30837
SED10047,44734,46308,91048,17859,12325,30179,5431,8221,13654,3442,3350,6790,1563,1437,3004,28297,25336,53631,13167,17678,30845,5.5,5.7,5.6,63.3,54.7,58.9,59.8,51.6,55.6,2297,2404,4703,402,691,1093,4847,6714,11567,3027,4246,7270,9323,5823,15142,384,764,1146,594,970,1565,10301,7558,17856,45544,46350,91897,8539,9003,17540,25158,25437,50593,24576,25846,50424
SED10048,42211,44300,86510,16231,11333,27566,5149,8122,13269,3900,3115,7018,1555,1494,3047,26837,24064,50900,13083,17678,30758,5.8,6.2,6,63.6,54.3,58.8,59.9,50.9,55.3,3368,3160,6524,498,760,1258,6642,8401,15040,3554,4477,8030,7736,4488,12228,314,665,973,650,989,1642,8701,6146,14844,44760,46002,90767,7038,7218,14258,26168,26876,53047,21851,22776,44627
SED10049,34033,36923,70959,16265,9613,25878,4419,9851,14271,1295,1836,3131,1133,982,2118,23114,22283,45403,9460,13188,22645,4.9,4.4,4.7,67.9,60.4,64,64.6,57.7,61,888,1105,1991,349,832,1183,2857,4918,7774,2676,4008,6688,10811,6688,17493,381,734,1109,507,929,1437,11700,8349,20041,34851,36714,71568,6586,7201,13787,21366,22212,43576,17477,19222,36695
SED10050,32818,34937,67759,16612,11673,28284,4978,8327,13307,1583,2350,3934,811,720,1526,23988,23072,47051,7622,10637,18257,3.4,3.1,3.2,73.1,66,69.4,70.6,64,67.2,4134,4043,8178,823,1344,2165,10229,11582,21811,2959,4220,7175,4166,1799,5973,174,351,521,538,894,1435,4880,3050,7934,31882,33302,65182,6885,7344,14234,19856,20905,40762,17052,17837,34889
SED10051,35648,37106,72752,14226,10874,25102,4971,7522,12488,2079,2450,4522,1034,879,1915,22306,21725,44027,11048,13186,24236,4.6,4,4.3,62.6,58.5,60.5,59.7,56.2,57.9,3440,3709,7148,515,1017,1531,6955,8994,15949,2888,4184,7068,6161,2535,8699,227,355,582,545,881,1432,6937,3772,10711,32574,34359,66930,6819,7057,13877,21178,22848,44031,16181,16668,32846
SED10052,31461,34002,65469,13478,9110,22593,4470,7628,12105,1985,2481,4459,769,586,1360,20705,19812,40513,9432,12801,22230,3.7,3,3.4,65.8,58.3,61.9,63.4,56.5,59.8,2094,2152,4248,493,987,1477,5676,7157,12838,3208,4489,7691,7372,3084,10457,227,453,676,729,1196,1927,8328,4737,13059,32195,34063,66259,4792,5065,9857,22363,23816,46184,12750,13482,26233
SED10053,34750,34315,69060,17898,12244,30143,4688,8262,12951,1209,1562,2769,777,641,1415,24559,22708,47270,8119,9693,17812,3.2,2.8,3,70.7,66.2,68.5,68.5,64.3,66.4,2632,2420,5055,704,1287,1994,4482,6284,10763,3001,3912,6910,8496,4213,12708,310,528,842,486,794,1273,9286,5535,14819,33573,32957,66528,6337,6189,12523,21413,20832,42244,16299,16220,32524
SED10054,35563,37286,72849,12531,9081,21612,4316,6060,10381,3185,2399,5583,1505,1263,2770,21535,18807,40343,11506,15823,27332,7,6.7,6.9,60.6,50.4,55.4,56.3,47.1,51.6,1636,1649,3283,235,517,755,4913,6332,11241,2752,3178,5926,5899,3834,9724,283,568,849,559,755,1313,6739,5152,11892,38084,38925,77008,4780,4994,9776,25258,25859,51118,14622,15308,29930
SED10055,33740,34779,68518,14616,10049,24667,4455,7602,12053,3108,2873,5983,902,752,1658,23081,21271,44357,9332,12145,21480,3.9,3.5,3.7,68.4,61.2,64.7,65.7,59,62.3,1182,1476,2653,274,656,932,3885,5496,9383,2788,3912,6700,8580,4252,12831,271,531,802,588,963,1558,9438,5747,15182,37146,37577,74718,4280,4432,8718,26436,26651,53082,12520,13005,25522
SED10056,34944,35089,70033,16129,8728,24856,3552,8649,12206,1146,1330,2478,764,609,1373,21593,19315,40904,9854,12469,22320,3.5,3.1,3.3,61.8,55,58.4,59.6,53.3,56.4,507,649,1154,223,685,914,2293,4024,6309,1853,2985,4838,8720,4587,13308,276,621,895,445,714,1163,9442,5920,15366,33235,33246,66489,5042,5115,10154,22603,22305,44908,13583,14056,27641
SED10057,30747,33308,64054,8380,5365,13745,3905,7216,11122,984,1131,2117,1046,756,1801,14314,14468,28784,14121,16344,30465,7.3,5.2,6.3,46.6,43.4,44.9,43.2,41.2,42.1,627,714,1340,300,598,903,2161,3461,5621,1949,3343,5292,8978,4939,13915,362,693,1050,540,1002,1543,9876,6632,16509,28524,30358,58884,4893,5298,10192,19084,20013,39097,12895,14184,27080
SED10058,33143,34906,68054,14122,9974,24096,5263,9479,14742,1256,1654,2910,1199,760,1965,21843,21866,43709,9402,11274,20680,5.5,3.5,4.5,65.9,62.6,64.2,62.3,60.5,61.3,2434,2847,5277,673,1302,1980,6603,8419,15021,2652,3672,6328,7189,3791,10985,297,453,753,492,744,1232,7981,4988,12970,29309,30250,59557,7284,7927,15216,17956,18480,36437,17031,18127,35157
SED10059,37889,35089,72986,17098,13925,31028,5598,6700,12297,2207,2405,4618,1521,1214,2737,26423,24244,50673,8650,8690,17334,5.7,5,5.4,69.7,69.1,69.4,65.7,65.6,65.7,5557,5691,11242,993,1313,2305,11892,12292,24183,3044,2925,5967,3106,1585,4692,217,213,426,423,457,877,3738,2254,5997,27090,24783,51865,11377,11253,22631,14852,13626,28478,22372,21392,43770
SED10060,31750,36855,68609,16662,14411,31070,4196,6389,10585,1328,1870,3202,818,846,1668,23009,23516,46527,7341,11729,19069,3.6,3.6,3.6,72.5,63.8,67.8,69.9,61.5,65.4,6127,6306,12432,985,1658,2634,11648,13482,25134,2523,3916,6444,2051,1216,3272,122,193,318,404,768,1176,2577,2185,4760,27028,30716,57740,7964,9043,17015,14998,17689,32686,18576,20692,39266
SED10061,31515,33455,64966,12083,7740,19823,3726,7310,11029,962,1196,2156,1008,816,1821,17770,17055,34831,10103,12604,22709,5.6,4.8,5.2,56.4,51,53.6,53.2,48.5,50.8,1287,1526,2813,375,840,1212,2675,4540,7214,1681,3010,4694,7049,4166,11212,379,648,1028,414,779,1196,7845,5588,13433,28203,29412,57611,5524,5994,11520,19236,19832,39073,12636,13932,26575
SED10062,31682,33932,65612,11625,8660,20291,4093,6841,10940,2916,2535,5449,929,712,1643,19571,18753,38323,10717,13510,24229,4.8,3.8,4.3,61.8,55.3,58.4,58.8,53.2,55.9,2726,2653,5383,511,911,1421,6818,7928,14748,2854,3955,6809,5263,2370,7632,243,417,662,601,991,1592,6112,3775,9889,32296,33780,66077,4431,4498,8931,23048,24373,47420,11868,12264,24131
