SED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED10090,32333,35381,67705,1484,1658,3143,4817,5286,10101,133,120,257,102,103,205,18,20,37,26,19,48,11,9,27,10,7,19,35,43,76,0,0,0,5147,5605,10754,701,813,1519,74,64,139,7415,8145,15558,1275,1411,2695,41019,44934,85956
SED10091,33391,34360,67753,1204,1351,2556,3467,3659,7126,42,44,87,69,70,145,11,3,13,18,18,41,10,3,13,0,0,3,29,33,58,0,0,0,3647,3845,7492,108,128,235,77,55,130,5036,5377,10417,1974,2022,3992,40402,41761,82160
SED10092,32914,33281,66197,1250,1249,2498,4611,4897,9510,110,107,221,97,103,198,19,27,43,18,23,41,29,18,40,10,9,18,56,71,127,0,0,0,4936,5253,10193,230,260,490,134,109,237,6553,6868,13419,2373,2391,4770,41841,42543,84385
SED10093,31831,33613,65444,1025,1125,2151,4005,4276,8282,39,53,92,83,84,169,14,16,30,8,15,26,6,5,8,3,7,13,8,10,18,0,0,0,4174,4466,8643,104,116,221,128,111,234,5431,5829,11254,2312,2521,4826,39571,41957,81532
SED19494,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,26292,27211,53508,2066,2172,4238,303,342,646,7147,7158,14307,233,256,486,83,71,152,79,112,189,40,43,77,19,22,38,52,56,104,0,0,0,7946,8054,15999,726,713,1439,141,109,252,10876,11046,21921,2447,2370,4819,39614,40632,80248
SED20207,42904,43757,86660,1522,1544,3067,195,194,386,5181,5265,10450,81,92,172,76,77,152,51,52,101,28,26,55,31,19,50,11,17,29,0,0,0,5647,5751,11400,542,592,1126,106,88,195,7814,7976,15789,2400,2249,4651,53123,53986,107110
SED20302,43725,45511,89233,1723,1850,3577,112,117,231,6666,6931,13592,54,69,127,23,29,53,28,39,68,30,30,64,24,6,29,15,8,22,0,0,0,6958,7231,14193,244,278,521,123,88,216,9054,9449,18503,3040,3249,6293,55819,58208,114024
SED20401,26462,27756,54220,384,414,792,45,42,91,2713,2837,5554,40,40,78,8,7,17,0,6,8,10,3,17,0,0,3,9,5,15,0,0,0,2834,2947,5779,148,167,311,64,40,106,3425,3567,6992,1318,1394,2708,31205,32715,63920
SED20508,27605,29601,57197,1342,1536,2876,76,69,145,2908,3241,6144,55,74,132,24,25,47,10,18,34,21,18,38,19,18,37,14,17,27,0,0,0,3125,3474,6598,91,108,202,55,45,100,4617,5160,9781,1740,1959,3703,33961,36722,70681
SED20604,27234,28448,55679,1091,1181,2270,771,822,1594,2191,2316,4504,292,227,519,50,34,89,49,42,91,24,14,40,47,37,84,50,45,92,0,0,0,3473,3536,7013,128,112,237,75,83,157,4764,4915,9681,2243,2045,4282,34239,35403,69645
SED20704,28022,29697,57714,875,901,1767,121,128,246,3317,3776,7099,36,48,82,26,36,61,22,30,56,17,11,25,12,17,31,10,10,19,0,0,0,3557,4057,7622,88,104,195,69,65,132,4589,5124,9710,1867,1944,3811,34481,36763,71242
SED20804,24388,25960,50352,851,985,1833,83,86,173,2573,2793,5369,46,54,99,30,35,65,18,27,45,21,25,43,19,14,36,9,12,27,0,0,0,2804,3046,5850,73,108,184,56,60,123,3790,4195,7989,2541,2232,4771,30718,32389,63112
SED20906,26531,28109,54645,692,738,1422,55,63,116,3484,3537,7018,45,39,80,10,21,31,16,10,27,14,8,23,9,3,6,5,9,14,0,0,0,3631,3688,7324,295,280,575,50,35,79,4668,4733,9404,950,1129,2076,32149,33975,66118
SED21001,28043,30507,58553,1019,1028,2050,89,83,172,3880,4079,7958,52,57,113,35,31,63,27,22,45,33,26,62,6,11,18,18,20,44,0,0,0,4137,4335,8470,421,435,853,81,73,151,5650,5869,11525,1329,1468,2800,35026,37852,72876
SED21106,23475,25717,49191,921,1023,1947,99,120,219,3108,3444,6552,62,74,136,17,20,34,15,24,40,13,9,22,6,14,19,15,17,32,0,0,0,3329,3719,7054,326,363,683,43,56,103,4616,5169,9786,1257,1427,2680,29345,32310,61653
SED21203,30119,29836,59959,1019,877,1898,76,47,122,2745,2432,5173,29,29,58,11,19,28,10,12,20,22,18,37,10,14,16,5,5,9,0,0,0,2898,2566,5461,225,242,464,74,58,129,4214,3739,7951,2956,2558,5511,37290,36138,73422
SED21303,26283,28156,54435,968,1060,2031,239,287,527,5652,6573,12221,133,185,319,54,66,122,62,73,131,43,50,91,30,34,66,59,61,119,0,0,0,6268,7323,13591,373,444,810,90,90,183,7698,8916,16609,1243,1273,2521,35223,38347,73565
SED21401,27141,29133,56278,570,627,1199,59,64,123,2923,3092,6010,38,36,75,24,35,64,9,9,14,6,12,15,5,3,6,12,3,16,0,0,0,3072,3246,6319,306,326,626,38,30,68,3984,4232,8215,963,1105,2069,32088,34468,66559
SED21503,25139,25446,50584,448,481,933,88,100,187,2868,2768,5635,44,45,83,14,26,42,11,12,24,13,14,20,11,10,14,12,8,24,0,0,0,3064,2975,6037,177,170,354,57,42,101,3754,3668,7425,1179,1097,2274,30065,30214,60278
SED21608,26478,27366,53841,713,794,1501,57,75,135,3270,3384,6655,71,62,133,25,22,47,28,34,59,10,17,30,10,7,19,4,9,9,0,0,0,3475,3611,7090,83,98,183,85,54,133,4358,4552,8907,2025,1903,3929,32866,33817,66682
SED21706,26416,28767,55178,657,652,1313,105,109,212,4041,4005,8047,49,53,104,28,19,52,26,32,53,44,26,66,10,11,23,13,14,26,0,0,0,4324,4266,8590,329,338,669,73,60,136,5378,5325,10699,1220,1177,2398,33011,35266,68279
SED21805,28621,30147,58763,683,754,1435,47,48,98,2905,3071,5977,52,55,102,8,8,19,12,14,29,6,12,17,6,3,11,0,3,6,0,0,0,3035,3221,6251,130,146,271,70,69,139,3910,4189,8100,1513,1547,3063,34040,35882,69922
SED21906,25113,26809,51919,990,1033,2027,110,148,263,4207,4539,8742,72,92,160,19,16,37,34,26,58,19,14,35,4,13,20,27,19,50,0,0,0,4497,4877,9370,400,428,828,71,55,132,5959,6394,12357,1357,1416,2769,32423,34619,67046
SED22005,29894,30006,59902,1263,1008,2270,86,72,154,4439,3948,8391,70,77,143,38,23,67,27,26,59,17,21,32,12,14,24,12,15,28,0,0,0,4702,4191,8898,329,389,715,119,79,192,6409,5661,12068,1586,1580,3168,37894,37251,75144
SED22105,50952,51712,102663,1028,1016,2041,105,97,195,6906,6957,13867,61,85,143,35,34,64,19,30,52,20,22,41,7,6,9,9,13,22,0,0,0,7168,7235,14405,378,477,851,135,101,230,8706,8826,17531,2796,2736,5530,62447,63275,125722
SED22201,24977,27159,52135,372,407,780,35,39,78,2735,2979,5712,28,26,54,9,11,13,7,13,16,9,5,8,11,6,14,0,0,0,0,0,0,2819,3079,5897,116,131,243,44,30,72,3347,3649,6996,895,1035,1929,29220,31848,61065
SED22305,30859,29481,60343,1079,912,1991,75,53,121,3429,2914,6342,33,24,59,29,24,56,17,15,29,11,12,22,3,5,7,13,10,18,0,0,0,3615,3047,6659,378,465,843,98,50,149,5170,4477,9643,2953,2410,5357,38980,36367,75347
SED22404,25470,25450,50922,964,1039,2004,57,74,132,1745,1794,3536,40,64,102,18,14,30,28,19,49,10,6,21,10,12,19,3,6,11,0,0,0,1912,1987,3898,91,68,164,51,42,86,3016,3134,6156,2420,2266,4687,30908,30850,61765
SED22501,25737,27042,52776,413,445,859,35,39,73,1758,1933,3691,14,27,39,4,8,9,4,11,16,7,15,22,0,0,6,12,11,20,0,0,0,1837,2039,3873,92,98,192,25,27,53,2367,2608,4975,725,764,1486,28828,30417,59239
SED22607,26658,28243,54897,818,906,1729,105,107,213,4076,4367,8446,87,91,175,37,39,73,25,37,61,9,15,27,8,14,26,17,19,40,0,0,0,4355,4693,9051,307,291,596,67,59,130,5552,5958,11504,1439,1478,2923,33651,35675,69323
SED22704,27203,27240,54445,1053,1152,2205,151,117,271,2006,2023,4036,144,116,260,42,38,82,78,18,98,14,16,28,16,19,37,18,7,34,0,0,0,2488,2356,4845,74,74,153,66,60,120,3677,3644,7323,3163,2818,5986,34043,33705,67748
SED22802,25849,26752,52595,396,412,808,30,17,46,2138,2306,4445,25,23,55,12,8,21,10,12,21,5,11,14,3,3,12,3,3,6,0,0,0,2235,2384,4618,85,61,147,42,34,75,2753,2892,5645,939,878,1818,29544,30515,60063
SED22901,25060,26463,51525,312,359,671,38,38,77,2366,2480,4844,25,18,48,8,10,18,15,15,31,17,13,26,5,4,6,5,6,12,0,0,0,2475,2586,5061,129,141,273,46,44,82,2964,3130,6094,913,994,1909,28936,30588,59523
SED23007,32268,31824,64095,1298,1248,2545,141,116,256,5013,4805,9819,75,75,145,33,46,79,23,29,50,25,31,57,11,18,33,8,12,16,0,0,0,5325,5120,10450,326,389,715,154,100,248,7097,6858,13962,2560,2213,4770,41929,40893,82820
SED23101,25293,27003,52293,380,393,770,48,41,89,2707,2636,5344,19,17,37,16,17,26,5,15,20,16,22,37,6,7,7,5,4,10,0,0,0,2810,2751,5566,247,215,457,43,26,71,3470,3391,6863,830,967,1801,29598,31361,60954
SED23205,24478,25842,50320,636,666,1302,44,39,84,2818,3136,5955,35,48,82,8,10,11,16,16,30,6,8,16,4,5,8,5,6,17,0,0,0,2937,3271,6203,138,112,244,72,73,144,3777,4120,7891,2065,2015,4087,30315,31978,62296
SED23308,25389,27320,52711,848,910,1755,84,83,176,3576,4008,7574,63,64,126,24,27,55,30,17,45,30,40,81,12,13,23,12,16,30,0,0,0,3838,4271,8111,169,202,367,83,63,148,4942,5443,10384,1615,1606,3214,31940,34370,66315
SED23402,33464,34827,68295,782,908,1692,43,49,89,4160,4372,8531,55,51,109,13,18,31,12,14,25,16,15,34,17,13,29,3,5,13,0,0,0,4316,4544,8858,165,184,347,65,53,125,5333,5686,11022,1864,1944,3806,40670,42458,83126
SED23502,24887,25583,50477,1381,1449,2828,126,150,275,1879,2013,3896,74,104,178,9,7,17,27,28,56,21,26,45,23,21,37,11,8,22,0,0,0,2165,2354,4516,70,58,128,79,72,153,3701,3927,7629,2613,2616,5231,31203,32129,63335
SED23602,23278,23832,47114,1237,1402,2637,119,103,220,1880,1916,3800,103,83,185,26,17,49,39,29,68,13,13,23,11,10,20,60,33,89,0,0,0,2245,2208,4451,89,98,186,51,46,99,3619,3754,7376,2970,2178,5149,29868,29761,59630
SED23702,29610,30380,59995,917,996,1915,160,114,278,2380,2614,4993,179,110,293,20,12,31,82,46,124,17,4,17,15,25,39,22,14,33,0,0,0,2874,2937,5811,77,87,163,79,54,130,3947,4075,8020,1645,1601,3245,35199,36058,71256
SED23806,23892,26155,50048,775,855,1626,118,155,273,4089,4420,8511,81,101,187,34,38,65,48,50,94,28,23,52,12,6,21,14,18,38,0,0,0,4417,4817,9232,358,360,717,53,61,116,5606,6090,11692,1037,1110,2149,30537,33350,63886
SED23901,26891,28785,55674,675,682,1354,120,113,236,3019,3388,6404,136,74,208,31,20,50,33,26,59,6,11,21,16,12,27,28,17,44,0,0,0,3382,3664,7047,211,221,437,39,51,86,4302,4615,8920,1206,1158,2362,32398,34558,66956
SED24006,25680,27775,53454,618,634,1251,80,82,162,2958,3016,5968,33,39,74,23,17,44,20,22,41,13,14,28,11,12,24,21,15,35,0,0,0,3162,3211,6373,327,346,678,31,31,65,4142,4226,8364,873,948,1820,30695,32947,63634
SED24105,32169,32689,64861,714,748,1455,45,56,100,2638,2529,5168,28,28,58,23,18,43,12,16,30,0,5,6,8,3,8,0,7,10,0,0,0,2759,2659,5420,280,295,573,89,67,149,3843,3767,7604,1362,1308,2672,37376,37758,75134
SED24207,40095,40625,80720,835,833,1668,94,100,193,4939,4875,9810,49,53,103,29,34,61,15,12,29,25,25,47,3,5,4,3,5,9,0,0,0,5158,5100,10262,322,351,675,97,67,162,6414,6354,12768,4292,2593,6888,50798,49571,100375
SED24308,27252,28523,55775,928,1023,1950,47,74,120,2863,2957,5817,44,56,99,23,13,39,5,10,18,28,16,47,12,16,31,3,0,9,0,0,0,3030,3152,6184,122,125,251,95,77,173,4173,4376,8550,3237,2141,5383,34664,35039,69703
SED24408,23559,23864,47419,1403,1565,2964,61,63,122,1263,1362,2627,48,45,95,97,108,209,26,17,44,16,17,30,20,21,41,3,0,6,0,0,0,1533,1643,3179,68,57,132,52,35,90,3059,3302,6362,2044,2034,4075,28657,29204,57859
SED24504,26706,27301,54010,822,913,1736,58,82,150,2122,2222,4346,42,51,92,15,11,28,11,12,27,15,13,25,3,0,8,13,10,21,0,0,0,2280,2413,4692,102,111,217,36,31,62,3240,3474,6716,1851,1869,3720,31799,32645,64440
SED24606,22170,24705,46872,780,853,1626,107,161,268,3591,3978,7566,58,80,132,24,21,48,28,21,56,22,20,43,0,11,9,11,16,33,0,0,0,3847,4306,8153,270,271,544,45,46,97,4944,5481,10420,1106,1221,2321,28217,31402,59618
SED24703,32321,32772,65095,3788,4010,7799,889,1015,1905,15737,16237,31977,575,664,1239,246,289,537,330,340,668,166,189,355,69,97,166,177,198,376,0,0,4,18189,19036,37231,1655,1726,3378,247,221,469,23881,24999,48878,4806,4529,9339,61010,62302,123310
SED24808,37844,39053,76902,1193,1348,2543,109,105,210,4615,4866,9485,82,94,177,34,33,68,18,13,30,26,33,55,12,18,31,6,0,6,0,0,0,4897,5160,10059,250,257,503,84,75,165,6428,6843,13269,2965,3060,6022,47240,48952,96192
SED24904,25952,26497,52452,1143,1190,2331,274,324,599,1943,2001,3948,73,83,157,133,110,249,27,26,50,9,9,10,21,23,36,7,11,13,0,0,0,2480,2584,5067,199,115,316,93,77,170,3921,3960,7882,2974,2750,5723,32843,33206,66058
SED25003,30185,30794,60981,380,391,771,60,59,115,2608,2620,5224,33,25,60,15,10,26,10,7,14,9,8,15,5,6,15,8,6,14,0,0,0,2741,2744,5489,166,164,330,41,41,80,3326,3338,6670,1402,1559,2962,34912,35696,70613
SED25102,25467,25684,51145,298,311,607,30,27,59,1827,1967,3795,14,21,35,3,8,18,4,4,12,6,4,14,5,4,12,4,3,9,0,0,0,1898,2042,3941,90,88,179,51,31,82,2335,2476,4813,934,860,1792,28735,29016,57752
SED25205,26775,29010,55783,640,727,1369,43,58,94,2463,2737,5194,45,27,73,0,12,15,12,7,17,3,9,11,0,0,0,5,8,16,0,0,0,2564,2863,5429,147,173,324,66,58,125,3423,3818,7245,998,1045,2042,31198,33865,65069
SED25302,26132,28742,54873,698,797,1496,59,57,112,2448,2767,5212,40,40,80,9,7,13,17,13,30,15,9,24,7,4,21,5,5,11,0,0,3,2594,2908,5498,138,153,291,30,28,61,3459,3877,7342,1188,1367,2553,30782,33985,64770
SED25402,26667,27794,54461,1155,1307,2464,64,66,126,2188,2377,4563,64,68,133,15,17,27,12,13,27,6,15,20,16,14,29,5,6,14,0,0,0,2373,2575,4944,90,102,192,93,83,175,3710,4067,7775,2579,2677,5248,32956,34534,67492
SED25501,26029,27066,53095,791,802,1594,80,82,171,3487,3390,6877,63,56,114,32,38,72,15,11,23,15,26,39,11,13,26,12,12,26,0,0,0,3715,3630,7347,455,463,922,63,43,103,5027,4939,9965,1097,1100,2198,32153,33101,65256
SED25605,26443,26908,53355,623,606,1225,41,39,83,2577,2411,4990,36,44,81,18,13,30,9,3,13,6,5,12,7,10,14,11,12,24,0,0,0,2708,2536,5247,233,232,467,73,49,120,3638,3417,7052,1357,1280,2638,31442,31606,63048
SED25704,25553,26222,51778,1362,1530,2896,271,297,565,1526,1642,3174,83,67,149,31,39,68,21,16,34,9,15,29,23,25,52,9,12,15,0,0,0,1971,2106,4082,88,83,171,61,55,113,3485,3775,7257,2540,2524,5064,31580,32521,64100
SED25802,30040,31218,61257,1351,1591,2938,59,65,127,3002,3206,6203,72,87,158,13,21,32,25,17,46,8,13,19,8,7,17,4,0,8,0,0,0,3192,3419,6612,85,104,191,77,61,138,4700,5179,9880,2542,2582,5126,37286,38973,76258
SED25905,28599,29061,57661,348,362,709,27,31,62,2473,2444,4913,29,24,54,18,17,32,11,6,21,6,11,11,5,0,10,6,4,9,0,0,0,2569,2539,5111,195,218,417,48,25,78,3157,3154,6313,1627,1632,3261,33393,33843,67234
SED26005,36381,36125,72503,529,559,1090,77,93,172,3723,3613,7339,52,52,106,23,23,48,13,20,30,12,12,24,9,4,6,0,3,0,0,0,0,3912,3825,7735,288,302,591,63,50,113,4793,4733,9533,1726,1652,3379,42906,42512,85413
SED26102,25699,27308,53007,1002,1065,2068,53,62,111,2619,2708,5329,53,61,105,5,5,15,16,12,29,11,8,19,17,15,25,5,3,8,0,0,0,2775,2867,5647,96,106,202,57,39,102,3932,4079,8013,2637,2765,5395,32262,34152,66419
SED26207,25724,27258,52983,524,538,1059,36,41,75,2196,2313,4507,29,25,51,11,11,21,6,6,13,10,7,14,0,4,8,5,6,4,0,0,0,2289,2402,4693,146,120,270,63,51,119,3026,3114,6142,997,1052,2050,29748,31425,61172
SED26303,25209,27515,52726,677,811,1484,105,141,244,4150,4772,8922,60,63,126,24,33,55,23,28,53,15,18,36,4,7,12,13,26,38,0,0,0,4400,5092,9492,226,284,515,71,82,151,5378,6264,11641,1105,1113,2217,31691,34897,66584
SED26406,26731,27632,54357,1156,1142,2296,148,158,309,5682,5317,10998,78,102,176,38,24,70,37,67,101,49,65,117,27,32,54,14,28,43,0,0,0,6076,5798,11872,426,439,865,85,67,149,7742,7438,15178,1523,1344,2866,35990,36414,72399
SED26504,23413,24395,47807,1327,1401,2729,256,282,544,1617,1702,3326,98,98,192,17,16,37,20,25,39,23,22,44,19,30,52,11,8,23,0,0,0,2063,2190,4256,55,67,125,81,70,151,3529,3732,7262,2021,2079,4105,28964,30208,59169
SED26603,30632,32313,62949,791,777,1571,129,138,266,4452,4450,8906,68,75,142,21,25,44,13,18,30,30,29,62,15,9,29,18,19,31,0,0,0,4748,4767,9513,257,298,558,87,80,169,5888,5918,11809,1819,1807,3621,38340,40041,78378
SED26708,26525,26433,52958,1159,1222,2377,75,75,155,2022,2015,4040,59,47,103,22,22,46,14,15,31,12,10,26,12,14,24,0,0,4,0,0,0,2224,2200,4421,109,81,188,55,60,111,3545,3552,7093,2366,2198,4564,32432,32180,64618
SED26806,23314,24516,47831,1354,1493,2847,337,397,739,6656,7309,13962,234,266,496,71,85,151,100,132,233,42,61,99,26,35,55,51,44,95,0,0,0,7517,8320,15830,598,659,1257,114,105,216,9579,10575,20159,2423,2532,4959,35318,37627,72941
SED26903,26777,27831,54607,711,728,1445,67,72,138,3868,3934,7802,54,52,103,20,28,45,27,23,52,17,11,29,11,8,14,8,8,21,0,0,0,4070,4140,8207,247,266,512,101,58,160,5133,5191,10326,1795,1775,3573,33705,34800,68510
SED27003,25120,26327,51446,1409,1449,2851,313,372,687,6537,6738,13282,192,227,418,86,105,189,103,103,200,35,42,74,25,30,54,56,68,123,0,0,0,7339,7684,15022,644,643,1286,127,99,220,9508,9874,19380,2124,1983,4109,36754,38188,74936
SED27101,26648,28130,54784,524,494,1024,45,51,95,3044,3230,6275,32,27,56,13,14,28,15,8,25,9,8,19,9,8,18,8,8,18,0,0,0,3172,3361,6532,171,212,381,46,50,96,3915,4116,8026,993,989,1978,31559,33234,64790
SED27208,26780,26905,53689,1141,1244,2389,54,65,120,2025,2160,4188,65,71,133,25,27,47,14,15,34,19,20,37,12,25,31,4,6,11,0,0,0,2220,2384,4610,91,93,187,66,64,129,3518,3789,7299,3704,2581,6280,34006,33276,67278
SED27305,24313,24804,49111,240,253,492,26,28,53,1773,1807,3582,27,23,52,11,9,20,6,7,11,3,7,9,0,0,3,5,0,0,0,0,0,1852,1884,3737,96,116,215,27,29,60,2224,2281,4502,687,668,1354,27222,27758,54977
SED27406,25062,27648,52711,672,737,1411,65,70,131,3026,3298,6322,40,51,91,9,12,21,23,20,41,6,0,10,3,0,4,6,9,17,0,0,0,3175,3460,6635,223,250,476,45,42,82,4120,4487,8612,961,1078,2036,30143,33216,63361
SED27504,29307,29638,58946,1260,1424,2679,178,222,397,2429,2645,5073,74,89,162,18,20,40,23,25,46,26,25,42,18,14,33,11,9,20,0,0,0,2777,3044,5815,150,181,329,79,72,158,4258,4721,8982,2950,2887,5834,36517,37246,73764
SED27608,34613,36337,70950,1821,1836,3664,129,160,294,5558,6123,11680,90,103,191,35,44,79,38,34,71,35,46,85,13,22,38,20,18,39,0,0,0,5926,6543,12469,186,222,411,103,109,215,8042,8712,16753,1706,1774,3482,44367,46818,91183
SED27708,26077,27326,53398,1353,1493,2847,66,68,138,1863,2086,3953,93,93,187,50,51,99,20,26,42,12,17,29,19,20,35,4,5,9,0,0,0,2135,2358,4495,89,92,177,65,49,112,3645,3986,7631,2100,2113,4209,31819,33422,65244
SED27807,30092,30221,60315,858,820,1678,62,44,114,3033,2838,5869,52,43,97,13,23,39,4,9,13,24,16,43,5,3,10,6,3,8,0,0,0,3205,2987,6195,253,266,523,104,86,188,4421,4162,8585,3012,2687,5699,37522,37070,74597
SED27907,27174,28255,55437,685,734,1417,40,50,93,2597,2672,5266,27,38,71,10,5,15,9,6,18,10,15,17,7,9,16,4,5,5,0,0,0,2703,2794,5504,141,111,253,41,42,84,3578,3677,7254,1417,1383,2792,32164,33316,65483
SED28007,34433,35136,69573,392,431,819,28,29,59,2762,2777,5542,41,32,77,11,8,17,9,12,16,5,7,12,9,9,18,5,0,7,0,0,0,2866,2877,5739,159,181,338,36,33,70,3454,3519,6975,1338,1336,2672,39224,39989,79217
SED28107,51108,49922,101033,1475,1357,2824,293,251,549,8931,8044,16977,120,139,264,118,110,232,35,47,80,44,38,89,32,36,66,39,36,71,0,0,0,9614,8709,18324,715,735,1454,174,122,297,11976,10924,22902,4642,3331,7978,67728,64182,131911
SED28203,32949,33228,66174,969,897,1869,71,66,131,4393,4195,8591,42,39,77,15,20,33,18,25,43,16,14,26,13,17,30,12,15,20,0,0,0,4570,4375,8951,238,270,506,79,53,133,5865,5589,11451,1924,1786,3709,40732,40604,81332
SED28301,26533,27929,54464,419,410,828,36,53,91,2409,2540,4953,27,29,60,12,18,35,10,12,22,11,11,24,4,0,4,11,11,19,0,0,0,2519,2688,5211,265,296,558,27,18,43,3229,3415,6644,851,884,1735,30611,32229,62843
SED28408,23375,25663,49039,844,889,1732,65,63,130,3460,3837,7297,67,67,138,28,21,47,19,30,53,16,19,31,17,13,31,8,8,16,0,0,0,3681,4071,7751,130,127,253,94,80,172,4752,5164,9913,1577,1656,3239,29705,32488,62191
SED28507,34626,35378,69997,1051,1196,2246,168,155,321,5243,5398,10644,84,92,175,35,41,75,33,28,64,32,32,65,18,23,43,8,9,16,0,0,0,5629,5777,11402,303,329,635,97,103,204,7085,7402,14483,2594,2426,5019,44298,45204,89505
SED28607,28977,30263,59237,1301,1316,2611,119,110,231,3572,3765,7344,64,69,132,20,21,39,24,29,49,17,16,32,8,6,18,20,17,40,0,0,3,3853,4047,7898,236,250,483,65,57,119,5452,5663,11113,1466,1501,2970,35901,37423,73322
SED28704,41620,42767,84392,1090,1129,2217,79,67,145,4788,4885,9676,88,89,178,19,22,43,15,20,31,9,7,11,15,20,31,4,13,16,0,0,5,5022,5122,10140,176,214,389,79,58,139,6361,6524,12887,1761,1782,3547,49747,51081,100825
SED28803,51984,51783,103767,1450,1452,2900,200,200,408,7502,7673,15176,99,89,191,34,29,66,22,29,48,28,29,60,20,20,41,12,11,27,0,0,0,7926,8085,16008,446,465,908,115,93,208,9938,10083,20026,2746,2664,5407,64664,64534,129198
SED29494,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
SED29797,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
SED30001,24437,24942,49374,572,580,1153,161,171,328,77,96,170,3437,3526,6958,29,21,53,22,18,43,10,15,18,23,26,45,31,31,58,0,0,0,3779,3899,7679,254,297,551,103,114,214,4715,4885,9605,1358,1334,2694,30512,31158,61671
SED30002,21566,23205,44765,285,294,573,122,126,251,100,113,212,2885,2992,5878,16,25,39,25,31,62,14,9,23,18,23,39,10,14,22,0,0,0,3201,3330,6527,187,173,356,55,50,107,3724,3839,7567,870,832,1701,26159,27874,54034
SED30003,22223,23772,45998,870,962,1830,218,220,444,148,140,289,3069,3512,6586,21,30,42,16,18,34,15,20,35,28,21,49,10,12,28,0,0,0,3531,3972,7504,163,167,327,110,114,228,4676,5214,9890,1372,1363,2736,28269,30353,58623
SED30004,20872,21739,42612,1041,1145,2187,262,278,541,308,376,683,2462,2769,5230,60,77,138,77,91,172,32,34,68,80,87,171,23,31,56,0,0,0,3311,3747,7056,184,168,358,97,91,185,4626,5154,9783,1984,1730,3715,27483,28623,56107
