SOSR_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
SOSR479,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
SOSR499,..,0,0,0,0,0,..,34,5,40,0,40,..,5,0,5,0,5,..,10,0,10,0,10,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,6,0,6,0,6,..,4,3,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,3,20,0,20,..,20,0,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,11,0,11,..,18,0,18,0,18,..,0
SOSR501,..,3227,517,3752,19,3768,..,56815,14801,71608,647,72255,..,4181,540,4720,30,4747,..,7930,314,8245,116,8361,..,6656,206,6864,88,6950,..,3736,383,4116,38,4154,..,3386,242,3629,31,3654,..,8923,753,9675,81,9753,..,10604,600,11201,108,11313,..,4389,322,4710,58,4765,..,17918,1697,19609,258,19867,..,5636,287,5930,34,5961,..,7483,468,7947,89,8036,..,2436,144,2582,16,2595,..,60768,4509,65281,675,65953,..,20217,2222,22440,179,22627,..,4862,737,5605,55,5656,..,1109,408,1518,12,1535,..,4845,1655,6502,53,6555,..,4984,701,5684,33,5720,..,8374,487,8859,82,8944,..,6343,972,7311,58,7374,..,4711,443,5152,44,5197,..,6775,742,7518,93,7609,..,3143,339,3484,28,3513,..,717,70,783,10,796,..,4623,771,5400,29,5421,..,9676,255,9926,91,10016,..,10422,1007,11432,120,11548,..,13824,453,14273,104,14372,..,7137,551,7691,62,7752,..,41056,2262,43321,365,43691,..,10561,975,11537,134,11670,..,7766
SOSR511,..,16,0,20,0,20,..,454,166,619,8,619,..,19,3,23,0,23,..,114,4,120,0,121,..,106,0,106,0,105,..,69,4,73,0,73,..,47,0,42,0,42,..,63,10,72,0,72,..,94,6,94,0,94,..,62,4,66,0,65,..,149,13,164,3,169,..,45,0,51,0,51,..,96,0,98,4,102,..,22,0,21,0,21,..,579,45,623,5,629,..,437,48,483,7,484,..,65,9,76,0,76,..,10,0,10,0,5,..,76,47,127,0,127,..,8,0,8,0,8,..,205,23,228,0,230,..,41,4,44,0,44,..,98,9,106,0,106,..,63,4,68,0,68,..,86,12,102,0,99,..,8,0,10,0,10,..,17,0,17,0,17,..,326,12,341,6,347,..,109,7,116,0,116,..,422,13,433,0,433,..,192,9,202,9,212,..,1054,45,1093,15,1110,..,150,6,157,0,158,..,48
SOSR512,..,24,8,25,0,25,..,456,132,590,0,591,..,45,0,41,0,41,..,225,12,236,0,242,..,312,12,322,6,325,..,48,4,51,4,54,..,30,5,27,0,27,..,79,4,92,0,92,..,183,9,190,0,190,..,70,6,78,0,77,..,211,15,223,5,229,..,81,8,89,0,89,..,112,13,124,0,122,..,48,4,51,0,51,..,808,61,870,4,876,..,403,36,439,9,446,..,73,7,71,0,71,..,8,0,9,0,9,..,57,24,76,0,79,..,21,0,24,0,24,..,218,12,228,6,235,..,60,3,66,0,66,..,68,5,72,0,74,..,93,12,104,4,106,..,59,6,68,0,70,..,65,3,72,3,71,..,12,0,12,0,16,..,654,19,670,4,675,..,222,12,234,0,234,..,770,27,792,11,801,..,409,64,480,6,482,..,2052,119,2176,22,2192,..,184,6,189,0,193,..,91
SOSR513,..,12,6,18,0,18,..,375,74,448,9,459,..,37,6,36,0,36,..,202,12,206,4,215,..,216,4,226,5,232,..,49,4,58,0,58,..,36,0,36,0,36,..,109,11,125,0,124,..,150,6,162,0,163,..,51,6,56,0,59,..,93,5,98,3,104,..,119,8,129,0,127,..,81,0,79,0,83,..,35,0,36,0,39,..,670,46,718,10,729,..,165,6,169,0,169,..,49,7,56,0,55,..,12,7,21,0,21,..,47,10,56,0,56,..,35,4,38,0,38,..,53,7,61,0,60,..,20,0,21,0,21,..,49,0,50,0,49,..,89,9,99,0,99,..,43,0,45,0,45,..,22,0,22,0,22,..,24,3,32,0,32,..,426,12,446,0,442,..,147,10,154,5,160,..,549,18,566,3,574,..,311,35,342,6,345,..,1427,80,1504,18,1521,..,229,13,241,5,245,..,57
SOSR514,..,3,0,3,0,3,..,89,32,126,0,126,..,8,0,8,0,8,..,127,3,134,3,137,..,160,3,170,4,172,..,19,0,19,0,19,..,6,0,5,0,5,..,9,0,9,0,9,..,11,0,16,0,16,..,9,0,9,0,9,..,30,4,28,0,28,..,17,0,20,0,20,..,18,0,19,0,19,..,3,0,3,0,3,..,93,7,104,0,104,..,133,5,141,5,143,..,34,11,50,0,50,..,3,0,3,0,3,..,28,13,43,0,43,..,5,0,5,0,5,..,23,5,30,3,32,..,6,0,6,0,6,..,45,3,48,0,48,..,52,6,53,0,53,..,10,0,10,0,10,..,0,0,0,0,0,..,8,5,17,0,17,..,73,7,73,0,77,..,47,3,50,6,52,..,105,3,114,0,114,..,26,3,27,0,27,..,249,15,266,5,265,..,121,5,121,0,123,..,13
SOSR515,..,10,0,11,0,14,..,360,101,460,5,466,..,44,8,49,0,49,..,162,11,172,3,174,..,229,13,244,3,247,..,26,5,26,4,29,..,24,0,29,0,29,..,13,5,8,0,8,..,60,3,60,3,61,..,18,0,19,0,19,..,84,6,88,0,88,..,46,5,50,0,50,..,39,0,45,0,39,..,5,0,5,0,5,..,290,21,309,0,311,..,414,38,450,5,460,..,46,6,56,0,52,..,22,3,22,0,22,..,33,10,45,0,45,..,44,4,49,0,49,..,102,9,109,0,111,..,17,8,30,0,30,..,71,3,74,0,78,..,81,7,89,0,88,..,28,0,31,0,31,..,14,0,14,0,19,..,27,0,27,0,27,..,477,17,489,9,500,..,141,14,155,0,151,..,461,13,477,6,482,..,283,78,363,7,363,..,1359,121,1478,14,1495,..,137,3,142,0,148,..,49
SOSR521,..,6,4,9,0,9,..,86,46,135,5,138,..,12,0,13,0,12,..,53,4,49,0,54,..,103,6,111,0,111,..,18,0,14,0,19,..,0,0,0,0,0,..,5,0,5,0,5,..,21,4,17,0,17,..,8,0,8,0,11,..,21,7,22,0,22,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,62,3,66,0,66,..,78,0,84,6,90,..,14,0,12,0,12,..,6,0,7,0,7,..,11,0,11,0,11,..,3,0,6,0,6,..,40,4,44,0,44,..,8,0,8,0,8,..,13,0,13,0,13,..,25,0,28,0,28,..,15,4,16,0,16,..,4,0,4,0,4,..,3,0,3,0,3,..,185,5,195,7,197,..,27,0,31,0,31,..,180,7,187,0,189,..,40,0,37,0,37,..,435,15,447,5,454,..,68,3,72,0,72,..,12
SOSR522,..,0,0,0,0,0,..,37,3,39,0,39,..,14,3,24,0,24,..,21,0,21,0,21,..,35,0,35,0,39,..,8,0,8,0,8,..,0,0,3,0,3,..,3,0,7,0,7,..,9,0,9,0,9,..,11,0,11,0,11,..,18,0,18,0,18,..,3,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,48,3,53,0,53,..,32,3,32,0,32,..,10,0,13,0,13,..,0,0,0,0,0,..,8,0,7,0,8,..,0,0,0,0,0,..,21,0,25,0,25,..,0,0,0,0,0,..,5,4,4,0,4,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,3,..,24,0,24,0,24,..,10,0,10,0,10,..,47,0,49,5,53,..,16,0,17,0,17,..,102,0,106,5,107,..,14,0,17,0,17,..,4
SOSR531,..,13,5,17,0,17,..,462,98,556,8,564,..,166,12,177,4,180,..,368,15,386,0,383,..,650,22,671,6,680,..,90,9,96,3,100,..,15,3,23,0,20,..,25,3,26,0,29,..,33,0,33,0,33,..,17,0,17,0,17,..,75,5,78,0,78,..,21,0,21,0,21,..,25,3,35,0,35,..,14,0,14,0,14,..,227,12,240,0,241,..,874,64,939,10,948,..,84,16,100,0,99,..,8,0,9,0,9,..,35,7,42,0,47,..,68,5,70,0,70,..,19,0,21,0,21,..,24,5,24,0,24,..,102,4,109,0,109,..,126,11,137,10,149,..,42,0,42,0,42,..,19,4,19,0,19,..,53,6,56,0,56,..,201,4,198,0,204,..,112,7,117,0,117,..,257,6,266,6,274,..,162,39,204,0,209,..,733,62,795,10,802,..,276,15,290,0,295,..,25
SOSR579,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,9,0,8,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,26,0,22,0,25,..,0,0,0,0,0,..,0
SOSR599,..,0,0,0,0,0,..,27,8,32,0,32,..,5,0,5,0,5,..,47,0,50,0,50,..,31,0,31,0,31,..,3,0,3,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,24,0,23,..,29,0,39,0,35,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,3,0,3,..,0,0,4,0,4,..,3,0,3,0,3,..,6,0,8,0,8,..,4,0,4,0,4,..,10,0,10,0,10,..,10,0,10,0,10,..,0,0,5,0,5,..,0,0,0,0,0,..,7,0,8,0,8,..,9,0,12,0,12,..,14,0,14,0,14,..,3,0,3,0,3,..,31,0,33,0,33,..,46,0,44,0,44,..,4
SOSR603,..,99,23,129,0,124,..,6484,872,7361,60,7417,..,150,24,171,0,171,..,379,5,386,3,392,..,586,12,598,15,609,..,796,85,888,6,890,..,481,14,494,5,493,..,426,17,444,6,446,..,888,31,919,4,922,..,4011,415,4432,33,4466,..,1640,94,1732,21,1753,..,612,32,647,13,659,..,819,53,866,8,870,..,113,5,118,0,119,..,8987,657,9645,88,9729,..,525,36,561,4,566,..,299,27,322,6,328,..,53,0,51,0,60,..,350,90,437,0,438,..,16,0,16,0,16,..,339,24,367,3,366,..,204,34,244,3,244,..,344,45,387,3,396,..,309,19,328,0,330,..,157,15,177,3,177,..,14,0,14,0,14,..,85,13,101,0,97,..,291,5,298,4,307,..,232,14,243,3,246,..,388,14,401,3,406,..,141,0,143,0,143,..,1051,32,1083,11,1094,..,835,55,892,9,896,..,267
SOSR611,..,30,8,37,0,37,..,1127,131,1259,8,1262,..,22,0,18,0,18,..,91,7,95,0,98,..,120,3,122,0,125,..,62,3,70,0,70,..,106,8,119,0,114,..,225,7,238,0,237,..,163,4,167,0,170,..,1469,474,1945,20,1966,..,441,27,466,4,470,..,196,9,204,0,206,..,291,12,305,0,308,..,34,5,37,0,37,..,2931,544,3478,34,3504,..,133,17,149,3,155,..,61,8,66,3,69,..,14,3,16,0,16,..,95,14,111,0,111,..,3,4,8,0,8,..,136,7,137,3,140,..,127,42,170,0,171,..,73,7,77,0,77,..,40,0,47,0,44,..,49,7,59,0,59,..,14,0,19,3,20,..,6,0,9,0,9,..,106,0,114,5,115,..,58,0,54,0,52,..,153,6,163,0,163,..,56,4,57,0,57,..,375,13,386,0,393,..,187,12,200,0,201,..,80
SOSR612,..,3,0,3,0,3,..,302,79,384,0,386,..,4,0,4,0,4,..,22,0,23,0,23,..,59,0,59,0,56,..,35,0,38,0,38,..,30,0,30,0,30,..,24,0,24,0,24,..,92,0,100,3,96,..,241,9,256,4,254,..,136,15,153,0,152,..,113,4,110,0,118,..,74,6,74,0,79,..,9,0,9,0,9,..,722,34,759,6,760,..,33,0,30,0,30,..,13,0,16,0,16,..,4,0,4,0,4,..,15,5,22,0,22,..,0,0,0,0,0,..,43,4,50,0,48,..,13,0,13,0,13,..,27,0,27,0,27,..,17,0,14,0,14,..,4,0,4,0,4,..,6,0,6,0,6,..,10,0,10,0,10,..,59,0,59,0,58,..,25,0,26,0,26,..,76,0,74,0,74,..,37,0,41,0,41,..,189,0,195,0,197,..,98,5,104,0,104,..,28
SOSR613,..,0,0,0,0,0,..,39,10,53,0,53,..,0,0,0,0,0,..,7,0,7,0,7,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,27,0,27,0,27,..,14,0,14,0,14,..,12,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,69,0,72,0,72,..,3,0,4,0,4,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,10,0,10,0,10,..,6,0,6,0,6,..,31,0,31,0,30,..,4,0,4,4,10,..,0
SOSR614,..,5,0,5,0,5,..,31,4,32,0,33,..,4,0,4,0,4,..,13,0,14,0,14,..,43,0,43,0,43,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,23,0,23,..,10,0,10,0,10,..,20,0,26,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,58,4,65,0,60,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,14,0,12,0,12,..,4,0,10,0,10,..,34,3,39,0,39,..,18,0,23,0,19,..,0
SOSR615,..,3,0,4,0,4,..,220,49,263,3,265,..,4,0,4,0,4,..,58,0,54,0,58,..,113,3,119,0,122,..,32,5,41,0,41,..,19,5,23,0,23,..,13,6,23,0,23,..,43,0,43,0,43,..,230,6,242,0,243,..,88,9,96,3,97,..,47,4,45,0,45,..,88,4,92,0,92,..,7,0,7,0,7,..,537,30,570,8,577,..,59,9,66,0,66,..,34,6,40,0,40,..,0,0,0,0,0,..,35,7,42,0,42,..,0,0,0,0,0,..,22,0,30,0,30,..,15,0,23,0,23,..,19,0,23,0,23,..,20,0,20,0,20,..,31,0,38,0,38,..,7,0,7,0,7,..,8,0,5,0,7,..,40,0,42,0,41,..,21,3,28,0,28,..,68,0,68,0,68,..,33,0,33,0,33,..,171,4,173,0,172,..,90,7,102,4,101,..,29
SOSR621,..,0,0,0,0,0,..,80,7,89,0,87,..,0,0,3,0,3,..,44,0,47,0,49,..,53,0,56,0,56,..,0,0,0,0,8,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,6,0,6,..,80,0,86,0,82,..,9,0,11,0,11,..,20,0,20,0,20,..,3,0,3,0,3,..,0,0,0,0,0,..,136,4,135,0,137,..,14,0,14,4,17,..,17,0,17,0,17,..,0,0,0,0,0,..,15,3,21,0,21,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,6,0,6,..,6,0,6,0,6,..,8,0,9,0,9,..,17,0,17,0,17,..,0,0,0,0,0,..,4,0,4,0,4,..,24,0,24,0,24,..,9,0,9,0,9,..,20,0,21,0,21,..,16,0,20,0,20,..,68,5,72,0,72,..,29,3,27,0,27,..,5
SOSR622,..,0,0,0,0,0,..,23,4,22,4,24,..,4,0,4,0,4,..,13,0,13,0,13,..,33,3,34,0,35,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,6,0,6,0,6,..,0,0,0,0,0,..,29,0,29,0,29,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,8,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,6,6,..,5,0,5,0,5,..,3,0,3,0,3,..,13,0,13,6,15,..,15,4,16,0,16,..,0
SOSR631,..,7,0,7,0,7,..,267,39,304,0,304,..,12,0,12,0,12,..,153,0,157,0,157,..,369,9,377,3,381,..,58,9,63,0,65,..,20,0,20,0,20,..,18,0,18,0,18,..,26,3,31,0,31,..,149,12,161,0,165,..,46,7,46,0,46,..,30,0,32,0,32,..,120,3,127,0,127,..,11,0,11,0,11,..,419,22,439,0,445,..,102,6,106,0,106,..,91,4,92,4,98,..,7,0,7,0,6,..,36,5,43,0,43,..,0,0,0,0,0,..,11,0,15,0,15,..,17,3,21,0,21,..,76,3,74,0,74,..,39,3,42,0,38,..,69,4,73,0,73,..,10,0,10,0,12,..,9,0,9,0,9,..,54,0,56,0,56,..,39,0,39,0,44,..,50,3,57,0,57,..,76,36,112,0,115,..,226,46,267,5,270,..,176,6,183,3,191,..,25
SOSR679,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
SOSR699,..,0,0,0,0,0,..,5,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,6,0,7,..,0
SOSR703,..,453,157,603,0,608,..,2667,651,3315,22,3337,..,18,3,20,0,20,..,356,19,380,9,385,..,404,8,417,4,422,..,2623,465,3090,19,3105,..,635,19,653,5,656,..,388,16,404,0,405,..,694,20,717,4,721,..,2519,121,2633,14,2648,..,969,79,1049,18,1068,..,768,31,799,15,815,..,711,45,755,7,765,..,136,3,141,0,141,..,6815,330,7146,72,7222,..,456,30,482,9,493,..,156,13,164,0,167,..,117,40,156,0,159,..,212,51,263,3,270,..,14,0,14,0,14,..,993,66,1058,10,1066,..,81,5,85,0,82,..,77,0,81,0,82,..,462,46,512,5,521,..,103,7,108,0,108,..,51,8,55,0,57,..,42,0,38,0,38,..,1675,68,1741,19,1762,..,998,120,1122,19,1136,..,2404,83,2480,32,2512,..,780,67,851,7,857,..,5858,338,6198,73,6264,..,464,29,501,7,509,..,443
