SOSR_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,8,15,11,16,3,3,0,0,54,66,122,369,195,189,156,34,0,0,1128,5,16,69,13,9,14,0,0,0,130,0,3,11,13,11,3,0,0,0,41,4,15,47,24,16,27,5,0,0,135,0,0,7,4,3,4,0,0,0,23,5,16,81,50,44,26,11,0,0,246,0,6,20,12,7,9,0,0,0,57,22,33,57,17,37,14,5,3,0,196,39,40,86,33,16,21,3,0,0,235,0,11,39,25,17,31,4,0,0,134,0,3,10,13,6,4,0,0,0,40,0,3,26,22,15,6,0,0,0,78,0,0,3,4,0,5,0,0,0,20,0,3,57,54,42,21,9,0,0,187,5,8,33,23,18,21,0,0,0,113,13,18,26,29,33,30,0,0,0,150,3,9,44,18,32,27,6,0,0,137,3,19,80,55,66,42,20,0,0,287,4,18,31,16,4,6,0,0,0,76
SOSR201,1370,4091,11881,10373,8305,5157,1488,333,89,43091,50244,106584,280750,257009,220606,144537,34658,3225,232,1097849,286,897,2560,2490,2517,1820,696,242,12,11526,13,97,679,1055,1049,682,166,22,3,3774,3906,9305,30857,36913,38943,29331,6584,676,48,156556,146,1028,5623,7696,5305,3187,625,46,8,23666,6410,21466,58316,48058,37993,23969,5717,611,33,202578,934,4168,13849,17353,17406,11923,2983,373,41,69030,25220,39950,49646,37748,32841,22653,6229,726,33,215049,35187,28554,32199,19511,13590,9160,2183,244,18,140638,1232,7789,26291,27116,23025,18337,4672,364,10,108830,956,3101,10949,12804,8756,4460,952,123,4,42097,338,6077,29763,36532,23823,11260,2649,372,57,110864,440,2608,9799,9229,7497,4833,1827,406,44,36675,1115,14383,67413,64933,43306,24791,8815,1443,68,226276,1258,6845,20214,16755,15189,10776,3233,395,13,74683,894,6763,29446,32465,28640,20005,4751,520,26,123509,4551,13980,48170,48540,44053,32258,8494,755,37,200824,3164,24651,83477,72596,63904,48726,13601,1203,60,311384,4081,5966,10862,8612,6429,3833,1314,208,17,41323
SOSR203,118,254,564,476,433,363,98,41,10,2362,5686,9813,21886,19151,17820,13768,3065,233,24,91459,82,189,443,405,376,310,180,55,6,2050,16,102,429,337,292,175,35,0,0,1402,530,1107,2940,2689,2877,2260,452,35,4,12898,19,94,562,549,507,389,50,0,0,2176,912,2436,5359,3818,2848,2143,488,47,6,18058,112,305,776,818,901,716,169,20,0,3816,2946,3426,4217,2965,2838,2230,640,60,5,19320,4146,2718,2670,1531,1104,869,239,21,3,13306,88,394,1412,1296,1304,1420,463,44,0,6418,75,199,494,488,420,216,66,5,0,1969,20,272,1255,1516,1238,592,149,14,0,5052,33,178,534,444,411,349,117,25,5,2082,72,729,2788,2486,1979,1221,483,66,10,9827,134,469,1198,1062,1098,948,280,22,3,5212,50,504,2540,2994,2897,2002,437,46,3,11471,335,1148,4298,4517,4084,3114,738,39,0,18274,404,3074,9045,7480,7072,6088,1372,77,0,34615,329,490,704,510,462,298,116,15,0,2924
SOSR211,43,91,239,206,135,101,15,9,0,843,1395,2145,5994,5506,4287,2924,619,46,4,22912,7,27,79,86,75,55,15,14,3,360,0,4,20,36,32,13,4,0,0,120,122,301,919,1087,859,598,121,5,0,4017,6,29,128,151,119,80,18,0,0,526,254,723,1673,1147,830,530,113,4,0,5288,31,67,302,356,282,212,51,4,0,1308,713,803,1260,1010,826,561,152,7,0,5333,960,490,565,381,260,153,40,0,0,2857,41,233,1248,1260,873,690,171,10,0,4521,17,37,118,160,55,29,9,3,0,423,11,71,351,388,212,107,27,0,0,1161,9,69,181,140,90,69,15,0,0,568,19,124,518,602,289,172,83,11,0,1808,43,152,416,452,348,253,64,19,0,1743,113,288,876,932,782,524,123,3,5,3643,75,251,957,1041,765,488,132,4,0,3712,95,463,1918,1787,1475,1047,205,12,0,6996,69,72,113,119,92,48,18,0,0,536
SOSR212,110,159,395,383,360,231,87,26,10,1765,3914,5264,13271,13370,13120,10041,2293,159,20,61456,89,284,955,750,659,516,206,56,10,3521,3,27,94,155,130,124,18,0,0,546,391,597,1684,1863,1992,1610,321,17,0,8473,10,94,471,560,601,455,78,4,0,2277,683,1529,3491,2901,2381,1656,387,32,0,13066,70,181,559,658,669,604,136,15,0,2898,2200,1751,2340,1996,2088,1786,452,46,0,12660,2723,1337,1422,1096,898,692,237,22,0,8423,83,309,973,1161,1334,1309,369,34,0,5571,42,120,271,268,257,162,43,3,0,1167,19,134,542,767,732,381,108,9,7,2690,15,117,305,342,356,219,112,22,0,1499,75,328,1500,1561,1347,915,403,47,0,6194,88,248,774,799,790,666,195,17,0,3587,57,356,1600,2069,2128,1518,337,21,0,8082,243,625,2549,2952,2747,2105,507,31,0,11756,220,1433,4787,4476,4500,3911,915,55,0,20296,224,183,334,354,307,228,62,9,0,1698
SOSR213,92,138,332,302,295,204,88,32,10,1496,3543,4641,11667,11360,11617,9304,2242,179,18,54572,123,262,798,589,506,501,300,116,16,3211,0,26,110,141,165,121,25,5,0,583,384,720,1981,1902,2064,1598,341,30,5,9018,17,76,340,393,428,400,67,3,0,1724,670,1410,3347,2447,2041,1510,392,23,6,11859,79,156,478,537,652,531,140,17,0,2589,1907,1480,2082,1813,1939,1655,447,36,3,11375,2436,1135,1217,937,760,675,193,5,0,7364,66,186,806,974,1168,1261,361,43,4,4868,49,103,233,231,221,162,42,7,0,1048,13,105,468,650,519,326,58,12,4,2157,25,100,248,254,257,174,84,21,0,1175,68,289,1013,1219,977,667,309,48,0,4583,103,248,629,723,735,675,202,29,0,3335,44,264,1581,1825,1822,1449,324,22,0,7327,194,591,2087,2330,2345,1814,467,34,0,9860,243,1271,4173,3878,4063,3713,891,46,5,18282,149,163,270,275,247,169,73,10,0,1360
SOSR214,57,68,178,159,162,164,64,28,8,889,1765,2294,5775,5833,6439,5733,1589,155,20,29604,97,167,401,354,332,321,207,73,13,1965,8,27,99,67,85,64,11,0,0,360,262,424,1080,1020,1118,943,236,20,3,5104,3,21,154,165,196,195,25,3,0,764,340,760,1772,1379,1220,1038,282,20,0,6809,57,94,238,269,345,265,96,11,0,1383,918,726,1012,916,1087,970,311,37,6,5979,1120,611,744,590,571,510,157,12,0,4315,33,96,385,430,528,643,248,25,0,2382,10,35,109,107,105,110,31,12,0,518,7,56,213,267,265,184,50,5,0,1039,14,52,143,140,174,140,60,14,0,739,26,131,505,567,524,461,241,46,4,2504,24,107,279,393,418,388,121,17,5,1750,48,190,724,844,1040,861,219,18,0,3949,63,237,1014,1203,1183,999,305,16,0,5033,135,598,1926,1802,2073,2238,600,28,0,9399,78,85,175,188,182,170,90,12,0,977
SOSR215,89,127,272,299,324,288,107,31,10,1558,2680,3344,9133,9661,10317,9235,2376,261,25,47034,181,386,921,761,836,778,442,160,30,4497,8,32,114,132,143,115,21,9,0,577,344,521,1408,1540,1696,1621,373,27,0,7530,15,65,282,341,346,351,59,0,0,1452,598,1217,3113,2517,2098,1673,391,39,0,11643,62,145,395,501,573,506,131,16,0,2327,1524,943,1434,1432,1672,1640,481,52,0,9183,1633,772,1065,911,946,811,296,42,5,6481,45,154,631,872,1069,1122,434,53,3,4386,30,45,147,177,176,142,37,6,0,757,7,76,303,407,445,312,95,21,0,1689,21,69,204,219,249,210,79,19,5,1066,40,214,746,1060,917,787,408,67,0,4240,64,173,509,606,676,592,202,33,3,2866,43,209,1176,1396,1505,1365,325,16,0,6042,120,379,1670,2026,1956,1701,460,31,0,8346,185,913,2802,2714,3212,3357,846,57,5,14083,108,133,306,294,309,231,86,14,0,1486
SOSR221,31,27,68,66,97,74,32,10,4,411,763,799,2222,2541,2987,2786,701,60,6,12865,63,110,280,244,275,306,188,52,4,1524,5,10,43,46,39,40,12,0,0,198,92,123,322,370,464,386,98,11,0,1870,3,11,57,103,113,107,18,0,0,414,162,308,714,731,635,548,112,6,0,3219,27,36,93,119,140,156,57,4,0,628,414,251,386,409,454,436,138,12,0,2493,448,177,229,204,222,253,79,3,0,1623,19,54,156,171,303,347,112,11,0,1166,0,8,38,29,42,47,17,0,0,187,5,21,97,107,130,76,17,5,0,459,3,15,39,64,69,66,26,5,0,281,8,56,204,250,268,256,128,15,0,1190,20,45,115,159,172,213,58,8,0,794,9,47,257,390,492,414,99,4,0,1699,32,87,443,603,623,522,163,9,0,2486,59,182,667,714,907,1025,227,9,0,3796,39,26,74,102,89,102,42,9,0,476
SOSR222,16,16,40,43,55,45,19,3,0,247,399,483,1165,1343,1643,1539,375,39,4,6997,21,55,141,174,180,185,94,38,3,890,0,5,21,17,24,22,9,0,0,98,42,62,169,186,241,247,62,3,0,1018,0,10,32,45,61,47,9,0,0,209,66,146,313,310,335,311,77,4,0,1566,17,21,47,45,85,72,24,0,0,314,142,111,157,194,225,246,79,10,0,1161,260,153,281,176,176,218,59,10,0,1331,22,50,90,128,171,218,80,13,0,767,0,4,16,24,31,15,13,0,0,101,0,4,37,44,65,53,11,0,0,219,0,17,19,29,43,22,11,0,0,154,15,27,95,139,148,113,63,3,0,603,21,21,95,77,111,103,44,3,0,476,0,18,125,209,256,227,45,0,0,890,17,56,198,280,327,303,83,0,0,1263,33,106,302,354,495,542,126,4,0,1965,18,28,45,65,63,51,25,3,0,297
SOSR231,286,245,506,613,866,746,365,167,29,3824,6268,6521,13645,17665,24058,21902,7263,1295,127,98750,1189,1708,4290,5204,6818,8689,6810,2529,352,37598,29,81,248,464,436,355,87,5,0,1708,830,887,1824,2427,3729,3382,987,146,9,14225,29,93,378,595,788,743,143,9,0,2782,1442,2322,4089,4759,5469,4347,1162,108,6,23712,223,282,634,903,1261,1250,377,59,4,4994,2889,1746,1721,1965,2917,2685,769,93,14,14790,3276,1230,1046,971,1356,1321,485,57,4,9757,134,307,862,1314,2191,2484,845,90,9,8232,46,87,199,264,381,313,87,14,0,1388,24,132,411,713,834,637,201,35,7,2984,56,120,289,352,490,451,192,41,6,2005,156,494,1257,2013,2490,2095,957,131,7,9604,145,307,659,863,1254,1232,363,43,5,4872,246,672,1580,2378,3195,2649,595,40,0,11351,348,729,2111,3232,4238,3662,1069,65,0,15461,384,1443,3632,4346,6409,6784,1778,97,4,24882,343,329,534,564,737,692,236,24,0,3468
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,8,10,13,0,0,3,4,0,44,37,109,287,131,99,96,9,6,0,771,0,5,38,9,13,10,5,0,0,76,0,0,0,0,0,5,0,0,0,6,7,15,32,27,22,13,3,0,0,120,0,0,4,7,7,4,0,0,0,22,3,22,63,31,36,19,6,0,0,190,3,4,10,14,10,7,0,0,0,39,12,20,37,24,16,17,6,0,0,126,24,47,80,15,10,16,8,3,0,202,0,4,31,19,22,16,8,0,0,108,0,0,9,9,5,0,0,0,0,25,0,3,20,19,5,0,0,0,0,53,0,3,11,3,0,5,0,0,0,23,0,3,35,26,11,23,6,0,0,99,0,3,26,20,10,13,8,0,0,74,14,22,32,15,11,13,3,0,0,115,0,9,23,20,21,13,4,0,0,97,0,20,71,37,33,44,3,0,0,205,3,3,21,14,4,0,0,0,0,46
SOSR301,963,2102,5018,4588,3469,2185,610,159,33,19126,34284,58745,132991,128955,115184,73729,15735,1340,81,561045,230,571,1651,1176,1143,881,317,107,7,6084,45,473,2820,4070,3236,1614,276,14,4,12557,2302,5461,14113,16250,16280,11512,2167,209,13,68310,137,552,2360,3978,3677,2141,348,22,0,13224,3787,9751,25010,22828,18538,11436,2756,237,16,94362,749,2151,6066,7388,7276,4953,1151,108,0,29831,15196,18691,23685,16875,14857,10537,2656,279,18,102804,25442,14310,15424,8727,6039,3719,897,100,5,74673,944,4217,13355,14670,13681,10977,2856,260,8,60968,416,1471,3440,3454,2769,1479,315,29,7,13375,253,2609,9719,11765,9018,4303,929,144,17,38756,382,1681,4721,4954,4277,2991,1213,259,31,20504,1067,8765,27208,27946,20739,11240,3582,437,10,100994,1079,4140,10165,8922,7752,5201,1386,137,0,38788,569,4661,16787,20321,20119,12106,2226,151,8,76959,2759,7627,20802,24973,25668,17345,3877,329,12,103396,3271,16605,44996,41819,37439,27236,6178,461,18,178010,1795,2794,4302,3403,2708,1641,500,84,4,17229
SOSR302,479,859,2029,1919,1715,1094,354,82,21,8563,14298,20055,44945,46633,47055,33285,8572,762,52,215663,82,196,405,350,415,338,216,48,4,2060,12,111,830,1221,1072,622,130,24,0,4019,1062,1797,3843,4595,4810,3614,953,107,6,20784,51,145,562,821,868,626,125,10,0,3198,1873,4389,11535,11817,10388,6920,1758,170,5,48858,201,546,1435,1969,2357,1661,512,62,6,8744,6304,6673,8655,7290,7491,5833,1807,191,9,44245,11016,5906,8003,5426,4565,3083,942,141,10,39094,232,772,2509,2907,3566,3279,1232,152,4,14647,192,555,1158,1147,1135,730,193,35,0,5145,115,774,2548,3077,3014,1838,530,92,14,12003,174,569,1820,2250,2558,2072,998,229,16,10682,330,1962,6410,7326,6442,3985,1771,227,8,28454,426,1215,3258,3568,3963,3014,956,85,4,16491,120,657,2827,4319,5149,3508,698,43,3,17332,744,2055,6302,8974,9758,6501,1586,124,9,36056,1019,5019,15580,15313,15521,12553,3062,232,8,68310,1079,1554,2440,2143,1895,1328,416,58,8,10932
SOSR303,224,306,683,592,564,347,124,36,8,2874,7439,10307,22415,22133,22088,15790,3840,360,28,104402,109,220,498,465,474,382,168,53,7,2376,25,209,915,1109,1011,627,103,3,0,4002,457,903,2002,2138,1979,1531,346,34,0,9383,43,123,457,635,645,449,74,9,0,2436,820,1810,4002,3544,3423,2507,654,73,8,16832,122,318,779,903,1003,826,211,21,0,4186,3528,3001,3914,3187,3079,2425,701,77,4,19916,5230,2712,3367,2386,1927,1275,394,25,0,17326,158,439,1617,1985,2361,2294,637,67,5,9560,64,178,389,338,263,194,55,4,0,1490,41,282,799,836,811,513,129,11,0,3424,80,267,570,633,678,567,218,48,0,3068,213,892,2333,2326,2019,1409,511,80,3,9773,173,503,1247,1318,1480,1182,319,36,0,6259,266,2145,5018,4118,4284,2751,504,37,0,19128,476,1255,3626,4617,5261,3796,963,81,4,20067,615,3501,9598,8772,8419,6576,1544,101,3,39127,400,377,591,479,476,350,122,20,0,2818
SOSR311,153,187,367,310,306,208,78,29,5,1646,4022,5064,11253,11369,11643,8794,1987,183,10,54328,111,219,600,354,360,342,146,43,5,2173,73,408,1448,1667,1470,935,142,3,0,6149,339,559,1266,1343,1315,1027,227,13,0,6093,34,109,363,442,424,328,42,3,0,1753,489,968,2032,1789,1717,1428,331,25,0,8781,111,253,638,713,634,529,107,10,0,2983,2265,1450,2169,1840,1806,1476,386,29,0,11423,2607,1188,1347,1002,876,738,206,23,0,7980,78,220,832,922,1130,1178,288,38,0,4694,27,82,142,98,91,71,18,5,0,534,16,120,301,339,328,236,52,4,0,1401,42,149,272,294,343,317,123,18,4,1556,109,397,993,999,793,586,219,19,0,4106,122,285,676,672,805,613,143,11,0,3330,57,308,1147,1317,1496,1163,233,17,0,5749,181,507,1646,2355,2579,1802,434,34,3,9539,372,1813,4592,4420,4456,3886,828,53,0,20410,153,102,159,174,145,125,55,9,0,931
SOSR312,45,74,140,103,133,89,29,19,3,629,1344,1571,3526,3831,4224,3454,738,70,4,18761,28,44,76,75,70,86,25,19,0,413,6,53,187,196,211,133,14,0,0,808,136,301,810,853,856,623,107,11,0,3691,26,53,142,150,179,169,17,3,0,742,166,346,935,924,806,555,137,5,0,3874,31,56,118,140,165,163,37,11,0,713,698,543,798,665,665,570,132,10,0,4092,942,431,469,364,364,254,54,7,0,2883,51,129,342,434,553,626,191,13,0,2325,8,19,56,70,74,52,15,0,0,303,7,26,92,118,113,80,26,3,0,463,11,48,94,105,132,130,62,12,0,588,30,107,311,297,313,265,101,8,0,1426,30,108,277,305,317,284,76,3,0,1390,19,69,329,422,559,449,88,8,0,1955,58,136,525,771,881,688,167,14,0,3229,97,420,1100,1186,1430,1406,302,16,0,5963,55,43,66,81,50,48,24,6,0,362
SOSR313,95,104,258,250,228,125,51,16,3,1141,2659,3361,7864,7814,7263,5441,1195,113,11,35717,102,167,422,401,355,285,160,58,6,1945,101,463,1666,1762,1467,941,124,4,0,6520,257,437,1139,903,876,609,126,17,0,4363,30,68,210,256,231,189,34,0,0,1026,352,663,1491,1261,1034,873,228,26,0,5927,85,155,382,387,339,277,74,6,3,1709,1379,908,1528,1304,1270,957,244,26,9,7629,1889,764,1126,810,636,495,140,21,0,5877,76,209,645,626,725,689,239,37,0,3247,21,37,87,68,55,46,17,9,0,328,19,74,219,224,206,145,36,7,0,924,25,75,202,213,197,179,69,23,0,987,67,225,515,576,474,365,134,21,0,2375,67,200,503,426,453,372,108,14,0,2142,51,264,928,1064,1096,853,146,12,0,4405,109,407,1242,1666,1687,1252,295,27,0,6675,238,868,2413,2255,2163,1881,391,20,0,10229,86,68,116,109,97,65,26,7,0,563
SOSR314,91,106,308,313,280,194,55,21,7,1369,2648,3000,7658,7750,7883,5654,1318,144,12,36064,151,441,1612,800,648,584,250,72,9,4567,71,297,1023,1135,984,572,78,6,0,4166,241,436,1068,1148,1099,909,182,15,0,5093,25,92,291,288,305,286,38,4,0,1334,356,700,1660,1614,1406,1036,252,28,0,7047,93,153,340,385,450,288,74,8,0,1795,1234,770,1232,1158,1239,932,253,30,4,6841,1788,655,771,612,603,495,145,28,0,5091,61,148,544,803,901,776,242,27,0,3503,23,36,94,86,80,56,14,4,0,392,13,64,247,252,236,126,27,0,0,973,23,73,166,203,196,164,59,19,0,910,83,180,567,628,570,416,143,19,3,2615,68,225,555,538,586,416,121,11,0,2527,46,196,747,1052,1126,793,149,9,0,4127,133,396,1250,1547,1728,1163,292,24,3,6538,218,672,1857,1972,2220,1848,427,32,0,9243,81,67,131,119,128,112,31,6,0,670
SOSR315,124,163,357,363,374,306,107,39,13,1852,3353,4069,10261,10666,11026,9101,2146,218,28,50873,178,346,988,733,771,703,329,77,15,4131,119,418,1617,1755,1579,1050,157,0,0,6701,382,630,1452,1493,1472,1141,255,19,5,6839,28,78,260,359,344,298,52,3,0,1424,495,922,2135,2123,1904,1610,397,33,0,9620,79,171,406,461,507,467,106,19,0,2223,1744,1037,1675,1555,1738,1478,420,62,9,9705,2009,1037,1829,1170,1105,1016,290,31,5,8494,106,231,740,945,1250,1223,476,42,4,5019,26,45,83,103,113,100,31,4,0,501,29,85,323,303,335,198,47,12,0,1326,40,82,238,261,295,240,145,26,0,1329,79,265,747,834,813,617,261,45,0,3660,120,301,770,725,844,704,192,15,0,3673,69,311,1112,1399,1641,1385,243,14,0,6175,149,515,1679,2216,2205,1782,431,42,0,9022,260,960,2610,2884,3379,3177,718,37,4,14023,108,91,229,199,190,171,49,6,0,1034
SOSR321,53,44,140,155,163,160,47,12,0,782,1221,1269,3160,3887,4448,3813,902,90,6,18795,81,166,363,333,349,322,142,36,3,1789,19,93,326,449,375,289,58,3,0,1619,116,190,407,470,489,458,99,11,0,2246,11,30,91,133,147,143,32,0,0,586,227,290,779,788,847,744,174,23,0,3866,34,43,119,149,192,156,44,3,0,735,638,353,509,530,707,660,203,32,3,3614,701,254,357,320,405,360,113,20,0,2528,31,73,261,330,487,540,179,15,0,1924,5,18,34,48,42,43,18,4,0,209,4,29,86,131,134,78,18,5,0,491,10,30,62,84,106,95,59,6,0,454,22,84,269,330,335,251,102,23,0,1413,44,75,184,254,359,279,83,13,0,1287,48,137,486,689,827,670,128,6,0,3002,63,206,541,835,907,758,166,8,0,3477,110,314,840,1033,1394,1388,313,16,0,5406,54,49,68,88,104,79,36,3,0,479
SOSR322,25,18,47,49,63,75,32,7,3,324,413,550,1318,1488,1902,1857,431,52,6,8012,47,106,194,191,207,244,102,36,0,1121,13,46,138,188,202,173,35,3,0,801,58,89,162,172,249,277,60,11,0,1071,4,11,32,38,54,57,11,0,0,203,57,135,284,302,315,345,65,6,0,1508,13,21,49,55,73,81,18,0,0,311,179,107,231,209,271,288,92,10,0,1384,213,123,193,180,225,232,76,16,0,1259,16,26,89,121,217,286,100,10,0,868,0,7,8,10,19,16,3,0,0,72,0,3,30,25,39,17,3,0,0,121,5,9,24,29,48,43,25,5,0,195,16,39,73,104,100,109,50,6,0,488,13,24,77,76,111,124,26,6,0,463,14,74,299,332,415,400,84,0,0,1620,27,102,267,319,385,367,80,9,0,1556,37,116,308,363,494,571,119,6,0,2007,10,18,29,21,62,19,11,3,0,173
