SAL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,3,5,7,3,6,11,0,0,0,42,74,131,175,136,236,225,43,0,0,1017,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,13,25,45,53,17,0,0,168,0,0,0,0,7,3,0,0,0,17,7,24,50,42,51,59,15,0,0,257,0,6,18,10,10,23,5,0,0,76,34,34,24,28,32,56,8,0,0,210,41,20,14,3,10,10,0,0,0,108,0,8,6,19,21,23,4,0,0,96,4,3,11,9,10,3,0,0,0,37,3,16,16,28,26,18,4,0,0,106,0,5,6,6,10,11,0,0,0,39,0,26,37,21,36,25,6,0,0,157,3,4,8,10,13,8,0,0,0,43,3,9,23,15,30,27,4,0,0,115,9,19,41,35,59,60,5,0,0,222,8,34,53,25,36,46,9,0,0,202,5,4,5,0,5,6,0,0,0,21
SAL10003,0,5,9,8,12,8,6,0,0,47,52,79,238,322,333,243,98,10,0,1375,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,7,16,14,23,23,14,3,0,103,0,0,0,6,5,4,0,0,0,18,4,17,48,51,33,40,8,0,0,200,0,0,5,19,32,15,8,0,0,86,20,20,30,40,31,30,14,0,0,191,24,12,10,19,9,16,10,0,0,114,0,4,8,14,20,20,3,0,0,79,0,0,13,16,19,7,0,0,0,67,0,3,53,75,65,35,3,6,0,248,0,3,15,19,21,8,8,0,0,76,11,27,70,99,98,62,42,4,0,412,0,0,8,24,27,18,11,0,0,88,0,3,27,45,45,38,8,0,0,165,8,14,41,54,62,61,31,7,0,276,3,21,60,55,74,76,29,4,0,321,3,4,11,10,10,3,0,0,0,36
SAL10004,0,5,0,0,0,0,0,0,0,3,28,16,44,71,75,63,5,0,0,311,0,0,0,4,9,0,0,0,0,9,0,0,5,5,4,4,0,0,0,12,4,4,7,5,14,11,0,0,0,47,0,0,0,6,3,0,0,0,0,10,9,3,11,19,9,5,3,0,0,57,0,4,6,0,0,7,4,0,0,17,20,10,4,8,6,11,3,0,0,64,21,0,9,3,0,3,0,0,0,34,0,0,0,3,4,10,0,0,0,20,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,12,0,0,3,0,3,7,0,0,0,11,0,0,7,5,9,5,0,0,0,22,0,0,0,6,6,3,0,0,0,19,0,0,6,21,24,18,0,0,0,69,0,5,11,18,23,10,0,0,0,64,4,7,18,24,30,21,7,0,0,111,0,0,0,3,0,0,0,0,0,4
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,0,3,6,3,4,0,0,0,14,44,50,130,108,106,80,11,0,0,534,0,0,0,0,3,0,0,0,0,5,0,6,12,24,24,11,0,0,0,77,3,3,23,15,13,11,0,0,0,80,0,0,0,6,6,4,0,0,0,14,5,11,34,11,17,25,0,0,0,107,0,0,8,4,8,3,0,0,0,23,21,14,23,20,21,16,0,0,0,111,27,16,32,20,13,11,0,0,0,114,3,0,9,5,20,12,3,0,0,50,0,0,3,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,0,4,0,3,7,0,0,5,0,0,0,16,0,9,10,3,3,3,0,0,0,23,0,3,19,10,14,6,0,0,0,53,0,4,13,14,22,20,0,0,0,71,0,3,18,11,16,4,5,0,0,57,8,11,32,43,42,30,4,3,0,171,3,4,4,4,3,0,0,0,0,13
SAL10007,0,4,3,0,0,0,0,0,0,11,34,45,99,75,82,80,21,0,0,440,0,11,10,9,10,14,12,5,0,71,3,6,35,53,57,30,3,0,0,185,0,3,9,5,13,18,0,0,0,56,0,5,3,5,6,3,0,0,0,30,10,4,15,21,11,7,3,0,0,77,0,7,3,6,9,0,0,0,0,20,13,5,14,8,11,14,0,0,0,72,21,8,11,4,5,8,0,0,0,65,0,0,8,0,8,3,3,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,12,0,5,14,11,7,0,0,0,0,31,0,0,7,6,7,3,0,0,0,29,0,9,4,4,0,12,0,0,0,27,5,4,9,14,15,10,5,0,0,55,6,5,20,12,22,22,3,0,0,90,0,0,5,3,0,0,0,0,0,15
SAL10008,0,0,0,0,0,0,0,0,0,0,3,0,0,5,10,3,6,0,0,31,0,0,5,10,8,7,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SAL10009,0,4,10,9,14,3,4,0,0,50,145,174,416,405,343,180,29,0,0,1697,3,0,9,6,5,0,4,0,0,29,6,17,79,105,82,51,0,0,0,331,8,23,60,49,37,23,3,0,0,201,0,3,18,14,19,10,0,0,0,66,12,37,67,72,45,33,3,0,0,272,0,4,20,30,19,10,0,0,0,83,63,51,89,61,56,36,4,0,0,356,96,30,38,46,17,9,0,0,0,241,0,4,33,33,41,30,7,0,0,148,0,0,0,3,3,3,0,0,0,13,5,5,22,24,14,3,0,0,0,79,4,5,3,8,8,5,0,0,0,32,0,17,31,44,11,15,4,0,0,119,8,6,36,31,26,11,3,0,0,121,0,8,55,49,47,28,4,0,0,193,10,29,53,61,50,36,9,0,0,240,11,47,141,136,110,80,7,0,0,546,3,3,4,11,4,0,0,0,0,22
SAL10010,0,4,4,5,7,0,0,0,0,15,35,45,130,117,96,86,13,0,0,518,0,0,4,0,4,3,0,0,0,18,0,8,23,25,16,15,0,0,0,84,3,8,33,21,23,12,0,0,0,102,0,0,0,4,0,3,0,0,0,12,10,19,23,23,24,22,0,0,0,115,0,0,7,3,6,3,0,0,0,27,11,13,18,18,20,13,0,0,0,99,22,14,11,11,9,11,0,0,0,80,0,4,15,10,9,16,5,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,0,0,0,19,0,6,5,3,3,4,0,0,0,22,0,0,7,9,10,0,0,0,0,34,0,3,13,9,15,9,3,0,0,54,0,0,7,11,13,9,0,0,0,40,0,4,7,21,6,9,4,0,0,54,6,13,47,40,36,40,7,0,0,182,0,0,3,0,0,0,0,0,0,7
SAL10011,0,0,0,0,0,0,0,0,0,3,3,3,16,13,29,9,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,6,0,0,0,12,0,0,0,0,9,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,7,7,3,4,0,0,0,0,13,0,0,0,0,5,0,0,0,0,4,0,5,0,5,7,3,0,0,0,22,0,0,9,4,3,0,0,0,0,15,0,0,4,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,4,3,5,0,0,0,0,10,0,4,0,6,7,0,0,0,0,15,4,0,3,4,6,0,0,0,0,8,0,0,8,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,3,4,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10014,0,4,4,11,9,4,0,0,0,31,49,75,196,290,222,128,23,0,0,990,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,23,37,33,32,8,0,0,136,0,0,6,4,3,4,0,0,0,21,3,10,40,43,27,22,3,0,0,148,0,5,17,30,17,12,0,0,0,78,30,30,33,42,47,30,0,0,0,209,35,12,15,16,10,3,0,0,0,93,0,7,22,33,20,11,7,0,0,102,0,0,14,17,10,6,0,0,0,41,0,11,34,54,29,16,4,0,0,145,5,7,10,0,0,5,4,0,0,24,3,7,39,73,33,15,0,0,0,170,0,3,8,14,19,12,3,0,0,62,0,4,25,39,51,24,9,0,0,153,5,9,24,41,52,26,5,0,0,161,7,18,59,85,60,43,3,0,0,277,0,0,0,0,3,0,0,0,0,16
SAL10015,0,0,0,0,0,0,0,0,0,0,0,4,6,8,11,21,3,7,0,65,0,6,0,3,7,4,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,0,0,7,0,0,4,9,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,8,0,0,4,3,5,15,3,0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,9,0,0,0,0,3,3,0,0,0,4,0,0,0,3,0,6,0,0,0,8,0,0,0,0,3,0,0,0,0,7
SAL10016,5,9,7,11,7,0,0,0,0,30,120,253,462,342,336,229,40,0,0,1783,0,0,0,0,0,0,0,0,0,10,0,9,11,18,11,4,0,0,0,56,3,12,36,20,32,23,3,0,0,132,0,0,13,11,7,11,0,0,0,48,13,35,88,58,46,43,12,0,0,302,4,4,3,12,15,13,0,0,0,57,51,51,65,34,29,44,8,0,0,282,76,70,52,20,26,16,6,0,0,263,3,10,22,15,30,25,7,0,0,112,0,0,15,3,3,0,0,0,0,26,4,7,33,33,28,15,0,0,0,115,0,6,11,9,7,9,0,0,0,39,9,37,91,74,50,16,3,0,0,275,0,14,25,24,12,17,0,0,0,95,5,17,73,101,79,45,0,0,0,329,4,31,91,65,97,63,11,0,0,366,16,99,211,141,130,104,15,0,0,723,8,11,12,7,8,8,6,0,0,59
SAL10017,0,0,8,10,4,0,0,0,0,28,102,93,257,395,328,169,40,10,0,1406,0,0,0,0,0,9,0,0,0,8,0,0,21,26,15,3,3,0,0,58,0,5,23,38,35,27,4,0,0,120,0,3,7,15,20,5,3,0,0,48,14,31,53,81,41,36,7,0,0,261,3,3,10,16,17,3,0,0,0,47,34,31,32,33,37,23,0,0,0,197,108,47,33,20,26,12,5,0,0,245,0,5,11,20,35,24,4,0,5,96,5,4,9,7,9,6,0,0,0,36,0,3,22,38,37,18,0,0,0,126,0,5,13,9,16,0,5,0,0,45,6,15,46,96,59,34,8,4,0,268,0,14,8,14,20,9,0,0,0,63,0,0,41,60,75,25,4,0,0,203,0,19,52,89,115,48,19,5,0,348,7,28,118,131,114,64,19,4,0,488,9,0,5,6,11,5,0,0,0,27
SAL10018,0,0,0,0,4,4,3,0,0,13,15,10,35,38,47,51,3,0,0,195,3,0,7,11,8,6,5,4,0,44,0,0,0,0,0,0,0,0,0,0,5,7,8,11,19,17,3,0,0,76,0,0,0,3,0,0,0,0,0,6,3,0,4,0,3,6,0,0,0,28,0,3,0,0,0,4,6,0,0,8,4,0,5,13,5,3,0,0,0,36,4,0,9,0,3,3,0,0,0,23,0,0,0,9,15,10,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,7,0,0,4,0,3,0,0,0,0,18,0,0,4,0,3,8,0,0,0,20,0,0,3,3,10,7,0,0,0,29,0,0,8,8,6,15,0,0,0,48,0,0,0,0,0,0,0,0,0,4
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,20,0,4,0,11,3,8,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10021,0,0,3,0,0,0,0,0,0,3,24,20,37,45,58,34,3,0,0,226,3,0,13,8,10,4,5,5,0,45,0,0,0,0,0,0,0,0,0,3,9,0,6,9,6,7,3,0,0,38,0,0,0,5,6,0,0,0,0,15,0,15,23,17,27,19,3,0,0,95,3,0,4,4,11,3,0,0,0,23,3,8,9,3,7,6,0,0,0,43,12,0,0,0,3,4,0,0,0,19,0,3,6,0,3,7,0,0,0,25,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,5,4,11,12,10,0,0,0,39,0,6,13,4,8,3,0,0,0,33,5,3,9,8,16,13,4,0,0,48,0,0,0,0,0,0,0,0,0,6
SAL10022,5,8,3,6,5,3,0,0,0,23,25,38,113,93,56,32,7,0,0,357,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,5,15,3,15,3,0,0,0,51,0,0,4,3,0,0,0,0,0,8,0,4,20,9,3,0,0,0,0,39,0,3,3,4,3,3,0,0,0,14,8,10,22,23,12,7,0,0,0,86,12,9,8,11,5,0,0,0,0,50,0,6,19,13,12,6,0,0,0,58,0,0,0,3,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,4,0,4,13,14,0,0,0,0,0,30,3,4,10,11,13,10,0,0,0,49,0,5,12,9,11,3,0,0,0,39,0,7,9,7,7,0,0,0,0,32,4,9,37,39,25,13,5,0,0,134,0,0,3,0,0,0,0,0,0,4
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,0,5,6,0,0,0,11,0,0,0,0,0,0,0,0,0,3
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,0,0,0,20,0,0,0,5,3,5,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SAL10025,0,10,18,14,18,8,0,0,0,69,283,351,746,715,749,499,68,8,0,3416,0,0,6,3,4,4,0,0,0,16,4,4,39,66,34,21,0,0,0,180,13,35,92,80,143,103,15,0,0,486,3,6,15,26,35,12,0,0,0,88,57,108,206,163,132,107,22,0,0,802,3,10,28,27,32,29,7,0,0,129,100,106,160,120,160,87,15,3,0,748,222,78,69,44,36,27,0,0,0,481,4,21,70,85,119,111,13,0,0,438,0,0,7,11,5,4,0,0,0,32,3,11,53,48,38,29,0,0,0,177,6,11,25,31,19,9,0,0,0,89,0,26,68,65,53,31,14,3,0,258,3,9,58,50,44,49,6,0,0,214,9,40,92,133,127,79,9,3,0,490,14,47,123,137,129,85,12,0,0,557,34,109,266,236,266,198,30,0,0,1145,14,8,19,13,17,14,3,0,0,82
SAL10026,0,11,9,10,9,3,0,0,0,47,98,156,336,277,281,247,40,0,0,1439,0,0,6,0,0,0,0,0,0,9,0,5,16,5,14,8,0,0,0,46,5,18,46,28,41,43,16,0,0,188,0,4,12,12,10,5,0,0,0,44,26,55,93,68,44,58,6,0,0,356,0,0,12,14,9,12,5,0,0,59,32,44,62,54,66,44,14,0,0,326,65,22,35,20,23,14,6,0,0,193,8,12,30,30,34,44,7,0,0,161,3,5,0,3,3,3,0,0,0,18,0,3,13,23,13,5,3,0,0,54,0,3,3,3,8,3,6,0,0,28,0,8,29,22,19,6,0,0,0,78,0,14,11,38,27,21,0,0,0,114,5,4,55,51,41,43,3,0,0,199,8,17,49,31,38,46,13,0,0,204,7,62,159,104,116,122,16,0,0,589,7,0,9,3,8,0,0,0,0,29
SAL10027,5,3,10,3,10,3,0,0,0,38,92,108,240,234,296,213,101,11,0,1301,0,0,0,6,4,6,6,4,0,38,0,0,0,0,0,0,0,0,0,7,8,12,40,33,38,21,15,0,0,172,0,0,5,5,3,0,0,0,0,20,10,19,44,45,36,33,17,0,0,209,0,8,5,7,13,12,15,3,0,56,40,30,41,31,20,26,22,0,0,203,65,33,43,23,35,20,10,0,0,237,4,4,20,13,21,17,8,0,0,81,0,4,8,8,5,4,4,0,0,36,0,3,11,16,15,4,5,0,0,53,0,0,4,3,11,12,3,0,0,32,0,3,34,31,33,34,15,3,0,155,4,3,9,5,8,10,10,0,0,49,4,12,29,53,61,38,10,0,0,201,9,12,33,64,80,55,33,0,0,288,3,44,114,95,107,88,50,3,0,499,6,8,4,6,9,3,0,0,0,29
